Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,condition,timepoint,region,Sex,hemisphere,animalnumber,experiment,block,mousetype,mouseline,libraryprotocol,sampleprocessing,GEO Accession
SRR14058978,43523968,5484019968,126,2032,SRX10433504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567029,SAMN18473039,simple,10090,Mus musculus,GSM5207897,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_13_dHC_0min,hippocampus,Homecage,0min,dHC,male,both,VIAAT-TRAP_6a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207897
SRR14058979,58669396,7392343896,126,2735,SRX10433505,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567030,SAMN18473038,simple,10090,Mus musculus,GSM5207898,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_14_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,VIAAT-TRAP_6a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207898
SRR14058980,42577478,5364762228,126,2008,SRX10433506,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567031,SAMN18473037,simple,10090,Mus musculus,GSM5207899,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_15_dHC_45min,hippocampus,Swim,45min,dHC,male,both,VIAAT-TRAP_7a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207899
SRR14058981,37324305,4702862430,126,1747,SRX10433507,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567032,SAMN18473036,simple,10090,Mus musculus,GSM5207900,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_16_vHC_45min,hippocampus,Swim,45min,vHC,male,both,VIAAT-TRAP_7a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207900
SRR14058982,35999143,4535892018,126,1710,SRX10433508,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567033,SAMN18473035,simple,10090,Mus musculus,GSM5207901,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_17_dHC_0min,hippocampus,Homecage,0min,dHC,male,both,VIAAT-TRAP_8a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207901
SRR14058983,33620582,4236193332,126,1596,SRX10433509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567034,SAMN18473034,simple,10090,Mus musculus,GSM5207902,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_18_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,VIAAT-TRAP_8a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207902
SRR14058984,38286569,4824107694,126,1798,SRX10433510,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567035,SAMN18473033,simple,10090,Mus musculus,GSM5207903,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_19_dHC_45min,hippocampus,Swim,45min,dHC,male,both,VIAAT-TRAP_9a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207903
SRR14058985,36288700,4572376200,126,1693,SRX10433511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567036,SAMN18473075,simple,10090,Mus musculus,GSM5207904,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_20_vHC_45min,hippocampus,Swim,45min,vHC,male,both,VIAAT-TRAP_9a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207904
SRR14058986,33021121,4160661246,126,1606,SRX10433512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567037,SAMN18473074,simple,10090,Mus musculus,GSM5207905,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_21_dHC_0min,hippocampus,Homecage,0min,dHC,male,both,VIAAT-TRAP_10a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207905
SRR14058987,48684720,6134274720,126,2337,SRX10433513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567038,SAMN18473073,simple,10090,Mus musculus,GSM5207906,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_22_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,VIAAT-TRAP_10a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207906
SRR14058988,41456189,5223479814,126,1930,SRX10433514,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567039,SAMN18473068,simple,10090,Mus musculus,GSM5207907,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_23_dHC_45min,hippocampus,Swim,45min,dHC,male,both,VIAAT-TRAP_11a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207907
SRR14058989,32758973,4127630598,126,1559,SRX10433515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567040,SAMN18473067,simple,10090,Mus musculus,GSM5207908,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_24_vHC_45min,hippocampus,Swim,45min,vHC,male,both,VIAAT-TRAP_11a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207908
SRR14058990,36564199,4607089074,126,1713,SRX10433516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567041,SAMN18473066,simple,10090,Mus musculus,GSM5207909,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_25_dHC_0min,hippocampus,Homecage,0min,dHC,male,both,VIAAT-TRAP_12a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207909
SRR14058991,25015888,3152001888,126,1595,SRX10433517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567043,SAMN18473065,simple,10090,Mus musculus,GSM5207910,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_26_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,VIAAT-TRAP_12a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207910
SRR14058992,36368200,4582393200,126,1660,SRX10433518,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567042,SAMN18473064,simple,10090,Mus musculus,GSM5207911,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_27_dHC_45min,hippocampus,Swim,45min,dHC,male,both,VIAAT-TRAP_13a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207911
SRR14058993,48760896,6143872896,126,2342,SRX10433519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP311942,PRJNA716950,35383160,"",SRS8567044,SAMN18473063,simple,10090,Mus musculus,GSM5207912,GEO,SRA1209898,03,2021,von,hippocampus,VIAAT-TRAP_28_vHC_45min,hippocampus,Swim,45min,vHC,male,both,VIAAT-TRAP_13a,VIAAT-TRAP,VIAAT-TRAP2_Block2,VIAAT-bacTRAP,vGAT::bacTRAP (Tg(Slc32a1-RPL10a-eGFP)Uze),illumina Smartseq2,TRAP_PostIP,GSM5207912
SRR14058938,26091184,2635209584,101,786,SRX10433520,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567045,SAMN18473207,simple,10090,Mus musculus,GSM5207763,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_14_vHC_4h,hippocampus,Swim,4h,vHC,male,both,FSTFemale45min4h_id_14,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207763
SRR14058939,23413860,2364799860,101,708,SRX10433521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567046,SAMN18473206,simple,10090,Mus musculus,GSM5207764,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_15_vHC_45min,hippocampus,Swim,45min,vHC,female,both,FSTFemale45min4h_id_15,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207764
SRR14058940,29080850,2937165850,101,874,SRX10433522,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567048,SAMN18473205,simple,10090,Mus musculus,GSM5207765,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_16_vHC_45min,hippocampus,Swim,45min,vHC,female,both,FSTFemale45min4h_id_16,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207765
SRR14058941,32561418,3288703218,101,978,SRX10433523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567047,SAMN18473204,simple,10090,Mus musculus,GSM5207766,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_17_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,FSTFemale45min4h_id_17,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207766
SRR14058942,24445866,2469032466,101,736,SRX10433524,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567050,SAMN18473081,simple,10090,Mus musculus,GSM5207767,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_18_vHC_4h,hippocampus,Swim,4h,vHC,female,both,FSTFemale45min4h_id_18,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207767
SRR14058943,28111880,2839299880,101,844,SRX10433525,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567049,SAMN18473084,simple,10090,Mus musculus,GSM5207768,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_19_vHC_0min,hippocampus,Homecage,0min,vHC,female,both,FSTFemale45min4h_id_19,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207768
SRR14058944,26839860,2710825860,101,817,SRX10433526,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567051,SAMN18473083,simple,10090,Mus musculus,GSM5207769,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_20_vHC_45min,hippocampus,Swim,45min,vHC,male,both,FSTFemale45min4h_id_20,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207769
SRR14058945,25700391,2595739491,101,775,SRX10433527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567052,SAMN18473082,simple,10090,Mus musculus,GSM5207770,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_21_vHC_4h,hippocampus,Swim,4h,vHC,female,both,FSTFemale45min4h_id_21,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207770
SRR14058744,27175334,2744708734,101,820,SRX10433528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567053,SAMN18473080,simple,10090,Mus musculus,GSM5207771,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_22_vHC_4h,hippocampus,Swim,4h,vHC,male,both,FSTFemale45min4h_id_22,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207771
SRR14058745,27604804,2788085204,101,833,SRX10433529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567054,SAMN18473079,simple,10090,Mus musculus,GSM5207772,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_23_vHC_45min,hippocampus,Swim,45min,vHC,female,both,FSTFemale45min4h_id_23,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207772
SRR14058746,26519564,2678475964,101,799,SRX10433530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567055,SAMN18473078,simple,10090,Mus musculus,GSM5207773,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_24_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,FSTFemale45min4h_id_24,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207773
SRR14058747,29906037,3020509737,101,898,SRX10433531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567056,SAMN18473077,simple,10090,Mus musculus,GSM5207774,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_25_vHC_0min,hippocampus,Homecage,0min,vHC,female,both,FSTFemale45min4h_id_25,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207774
SRR14058748,27089301,2736019401,101,818,SRX10433532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567058,SAMN18473076,simple,10090,Mus musculus,GSM5207775,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_26_vHC_4h,hippocampus,Swim,4h,vHC,female,both,FSTFemale45min4h_id_26,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207775
SRR14058749,24306256,2454931856,101,733,SRX10433533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567057,SAMN18473116,simple,10090,Mus musculus,GSM5207776,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_27_vHC_45min,hippocampus,Swim,45min,vHC,female,both,FSTFemale45min4h_id_27,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207776
SRR14058750,25622151,2587837251,101,769,SRX10433534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567059,SAMN18473115,simple,10090,Mus musculus,GSM5207777,GEO,SRA1209898,03,2021,von,hippocampus,FSTFemale45min4h_28_vHC_0min,hippocampus,Homecage,0min,vHC,male,both,FSTFemale45min4h_id_28,FSTFemale45min4h,FSTFemale45min4h_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207777
SRR14058751,35868670,3622735670,101,1090,SRX10433535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567060,SAMN18473107,simple,10090,Mus musculus,GSM5207778,GEO,SRA1209898,03,2021,von,hippocampus,LeftvsRight_1_vHC_Left_45min,hippocampus,Swim,45min,vHC,male,Left,LeftvsRight_id_1,LeftvsRight,LeftvsRight_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207778
SRR14058752,30892982,3120191182,101,939,SRX10433536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567061,SAMN18473109,simple,10090,Mus musculus,GSM5207779,GEO,SRA1209898,03,2021,von,hippocampus,LeftvsRight_2_dHC_Left_45min,hippocampus,Swim,45min,dHC,male,Left,LeftvsRight_id_1,LeftvsRight,LeftvsRight_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207779
SRR14058753,22429635,2265393135,101,686,SRX10433537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP311942,PRJNA716950,35383160,"",SRS8567062,SAMN18473108,simple,10090,Mus musculus,GSM5207780,GEO,SRA1209898,03,2021,von,hippocampus,LeftvsRight_3_vHC_Right_45min,hippocampus,Swim,45min,vHC,male,Right,LeftvsRight_id_1,LeftvsRight,LeftvsRight_Block1,WT,C57BL/6J,illumina TruSeq,WholeRNA,GSM5207780
