Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,chip antibody,GEO Accession
SRR15928700,44974905,3418092780,76,1350,SRX12218841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194932,SAMN21467718,simple,9606,Homo sapiens,GSM5584087,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,shSMC1A#2,Colon carcinoma,DLD1,,GSM5584087
SRR15928701,54606870,4150122120,76,1631,SRX12218842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194933,SAMN21467719,simple,9606,Homo sapiens,GSM5584088,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,shSMC1A#3,Colon carcinoma,DLD1,,GSM5584088
SRR15928702,33263287,1679607480,50,790,SRX12218843,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP337586,PRJNA764064,1,"",SRS10194934,SAMN21467720,simple,9606,Homo sapiens,GSM5584089,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Input#1,Colon carcinoma,DLD1,Bethyl Laboratories (A300-055A),GSM5584089
SRR15928703,32094399,1620641478,50,763,SRX12218844,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP337586,PRJNA764064,1,"",SRS10194935,SAMN21467721,simple,9606,Homo sapiens,GSM5584090,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Input#2,Colon carcinoma,DLD1,Bethyl Laboratories (A300-055A),GSM5584090
SRR15928704,37026129,1870085477,50,874,SRX12218845,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP337586,PRJNA764064,1,"",SRS10194936,SAMN21467722,simple,9606,Homo sapiens,GSM5584091,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,SMC1A ChIP#1,Colon carcinoma,DLD1,Bethyl Laboratories (A300-055A),GSM5584091
SRR15928705,32211443,1626960378,50,763,SRX12218846,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP337586,PRJNA764064,1,"",SRS10194937,SAMN21467723,simple,9606,Homo sapiens,GSM5584092,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,SMC1A ChIP#2,Colon carcinoma,DLD1,Bethyl Laboratories (A300-055A),GSM5584092
SRR15928706,14892608,1131838208,76,455,SRX12218847,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194938,SAMN21467724,simple,9606,Homo sapiens,GSM5584093,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day0 R1,Colon carcinoma,HCT116,,GSM5584093
SRR15928707,15377379,1168680804,76,467,SRX12218848,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194939,SAMN21467725,simple,9606,Homo sapiens,GSM5584094,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day21 R1,Colon carcinoma,HCT116,,GSM5584094
SRR15928708,16521189,1255610364,76,504,SRX12218849,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194940,SAMN21467726,simple,9606,Homo sapiens,GSM5584095,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day0 R2,Colon carcinoma,HCT116,,GSM5584095
SRR15928709,12805162,973192312,76,390,SRX12218850,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194941,SAMN21467727,simple,9606,Homo sapiens,GSM5584096,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day21 R2,Colon carcinoma,HCT116,,GSM5584096
SRR15928710,16501140,1254086640,76,504,SRX12218851,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194942,SAMN21467728,simple,9606,Homo sapiens,GSM5584097,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day0 R3,Colon carcinoma,HCT116,,GSM5584097
SRR15928711,15071784,1145455584,76,460,SRX12218852,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194943,SAMN21467729,simple,9606,Homo sapiens,GSM5584098,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day21 R3,Colon carcinoma,HCT116,,GSM5584098
SRR15928712,44273929,2257970379,51,1075,SRX12218853,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194944,SAMN21467730,simple,9606,Homo sapiens,GSM5584099,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,HCT116 RPF R1,Colon carcinoma,HCT116,,GSM5584099
SRR15928713,38808604,1979238804,51,945,SRX12218854,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194945,SAMN21467731,simple,9606,Homo sapiens,GSM5584100,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,HCT116 RPF R2,Colon carcinoma,HCT116,,GSM5584100
SRR15928714,28589200,1458049200,51,696,SRX12218855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194946,SAMN21467732,simple,9606,Homo sapiens,GSM5584101,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,HCT116 RPF R3,Colon carcinoma,HCT116,,GSM5584101
SRR20325630,19902570,1512595320,76,609,SRX16358813,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS13996484,SAMN29844499,simple,9606,Homo sapiens,GSM6356699,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day21 R4,Colon carcinoma,HCT116,,GSM6356699
SRR20325631,15285265,1161680140,76,466,SRX16358814,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS13996485,SAMN29844500,simple,9606,Homo sapiens,GSM6356702,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day21 R5,Colon carcinoma,HCT116,,GSM6356702
SRR20325632,23495103,1785627828,76,715,SRX16358815,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS13996486,SAMN29844501,simple,9606,Homo sapiens,GSM6356703,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,Day21 R6,Colon carcinoma,HCT116,,GSM6356703
