Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,collected_by,collection_date,geo_loc_name,host,host_disease,isolation_source,lat_lon,sample_type,isolate,BioSampleModel
SRR8698813,23182645,6954793500,150,2555,SRX5494562,WT-H3K9me3-20hpi_ChIP,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464328,SAMN10996207,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-20hpi_ChIP,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-11T20:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698812,21030900,6309270000,150,2444,SRX5494563,WT-H3K9me3-10hpi_ChIP,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464329,SAMN10996206,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-10hpi_ChIP,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-11T10:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698811,46092461,13827738300,150,5514,SRX5494564,WT-ATAC-40hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464330,SAMN10996201,simple,36329,Plasmodium falciparum 3D7,WT-ATAC-40hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-12T16:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698810,41489166,12446749800,150,4911,SRX5494565,WT-ATAC-30hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464331,SAMN10996200,simple,36329,Plasmodium falciparum 3D7,WT-ATAC-30hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-12T06:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698809,40911263,12273378900,150,4783,SRX5494566,WT-ATAC-20hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464332,SAMN10996199,simple,36329,Plasmodium falciparum 3D7,WT-ATAC-20hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-11T20:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698808,40533459,12160037700,150,4743,SRX5494567,WT-ATAC-10hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464333,SAMN10996198,simple,36329,Plasmodium falciparum 3D7,WT-ATAC-10hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-11T10:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698807,40423636,10190016415,126,3420,SRX5494568,WT-gDNA-40hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464334,SAMN10996205,simple,36329,Plasmodium falciparum 3D7,WT-gDNA-40hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-12T16:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698806,39083594,10024694442,128,3341,SRX5494569,WT-gDNA-30hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464335,SAMN10996204,simple,36329,Plasmodium falciparum 3D7,WT-gDNA-30hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-12T06:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698805,39088900,11726670000,150,3753,SRX5494570,WT-gDNA-20hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464336,SAMN10996203,simple,36329,Plasmodium falciparum 3D7,WT-gDNA-20hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-11T20:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698804,40428556,12128566800,150,3905,SRX5494571,WT-gDNA-10hpi,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464337,SAMN10996202,simple,36329,Plasmodium falciparum 3D7,WT-gDNA-10hpi,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-08-11T10:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698803,36481212,10944363600,150,4740,SRX5494572,G7-R5_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464338,SAMN10996217,simple,36329,Plasmodium falciparum 3D7,G7-R5_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-02T16:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698802,36922849,11076854700,150,4771,SRX5494573,G7-R0_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464339,SAMN10996216,simple,36329,Plasmodium falciparum 3D7,G7-R0_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-02T06:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698801,45996763,13799028900,150,6338,SRX5494574,DIS3-R5_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464340,SAMN10996215,simple,36329,Plasmodium falciparum 3D7,DIS3-R5_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-01T20:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698800,43344280,13003284000,150,5981,SRX5494575,DIS3-R0_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464341,SAMN10996214,simple,36329,Plasmodium falciparum 3D7,DIS3-R0_rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-10-01T10:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698799,29046549,8713964700,150,3292,SRX5494576,WT-H3K9me3-40hpi_Input,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464342,SAMN10996213,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-40hpi_Input,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-12T16:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698821,22587982,6776394600,150,2536,SRX5494577,WT-H3K9me3-30hpi_Input,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464343,SAMN10996212,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-30hpi_Input,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-12T06:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698798,27004432,8101329600,150,3052,SRX5494578,WT-H3K9me3-20hpi_Input,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464344,SAMN10996211,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-20hpi_Input,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-11T20:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698797,26355441,7906632300,150,2983,SRX5494579,WT-H3K9me3-10hpi_Input,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464345,SAMN10996210,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-10hpi_Input,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-11T10:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698796,21770048,6531014400,150,2540,SRX5494580,WT-H3K9me3-40hpi_ChIP,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464346,SAMN10996209,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-40hpi_ChIP,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-12T16:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698795,21054088,6316226400,150,2445,SRX5494581,WT-H3K9me3-30hpi_ChIP,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464347,SAMN10996208,simple,36329,Plasmodium falciparum 3D7,WT-H3K9me3-30hpi_ChIP,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-09-12T06:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698794,39176517,11831308134,151,4281,SRX5494582,40hpi-steady-state-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464348,SAMN10996229,simple,36329,Plasmodium falciparum 3D7,40hpi-steady-state-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-12T16:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698793,96744768,29216919936,151,11925,SRX5494583,40hpi-nascent-rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464349,SAMN10996228,simple,36329,Plasmodium falciparum 3D7,40hpi-nascent-rep1,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-12T16:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698792,147191622,38661438196,133,15624,SRX5494584,10hpi-steady-state-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464350,SAMN10996231,simple,36329,Plasmodium falciparum 3D7,10hpi-steady-state-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-15T10:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698791,42420121,11421124392,136,4339,SRX5494585,10hpi-nascent-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464351,SAMN10996230,simple,36329,Plasmodium falciparum 3D7,10hpi-nascent-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-15T10:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698790,66485131,20078509562,151,7172,SRX5494586,20hpi-steady-state-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464352,SAMN10996233,simple,36329,Plasmodium falciparum 3D7,20hpi-steady-state-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-15T20:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698789,39999999,11163957057,139,4668,SRX5494587,20hpi-nascent-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464353,SAMN10996232,simple,36329,Plasmodium falciparum 3D7,20hpi-nascent-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-15T20:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698788,25885149,7817314998,151,2684,SRX5494588,30hpi-steady-state-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464354,SAMN10996235,simple,36329,Plasmodium falciparum 3D7,30hpi-steady-state-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-16T06:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698787,41072846,11084493861,137,4192,SRX5494589,30hpi-nascent-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464355,SAMN10996234,simple,36329,Plasmodium falciparum 3D7,30hpi-nascent-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-16T06:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698786,25233894,7620635988,151,2677,SRX5494590,40hpi-steady-state-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464356,SAMN10996237,simple,36329,Plasmodium falciparum 3D7,40hpi-steady-state-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-16T16:00:01Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
SRR8698785,29999999,8478942050,141,3560,SRX5494591,40hpi-nascent-rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP187921,PRJNA524965,1,"",SRS4464357,SAMN10996236,simple,36329,Plasmodium falciparum 3D7,40hpi-nascent-rep2,"Institut Pasteur of Shanghai, CAS",SRA857315,08,2019,Makar,"","",Shigang Yin,2017-11-16T16:00:00Z,China:Shanghai,Human red blood cell,malaria,laboratory,31.23 N 121.47 E,missing,3D7,"Microbe, viral or environmental"
