Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain/background,genotype/variation,age,GEO Accession
SRR10446752,17690812,454277123,25,204,SRX7141423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649564,SAMN13285530,simple,10090,Mus musculus,GSM4160749,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160749 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,wt,adult,GSM4160749
SRR10446753,71365163,2192235879,30,957,SRX7141424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649565,SAMN13285529,simple,10090,Mus musculus,GSM4160750,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.mono-80S.rep1,testis,whole testis,C57B6,wt,adult,GSM4160750
SRR10446754,8848587,270983054,30,122,SRX7141425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649566,SAMN13285499,simple,10090,Mus musculus,GSM4160751,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160751 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160751
SRR10446755,34170258,989076843,28,725,SRX7141426,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649567,SAMN13285498,simple,10090,Mus musculus,GSM4160752,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160752 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160752
SRR10446756,11115179,279893504,25,201,SRX7141427,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649568,SAMN13285497,simple,10090,Mus musculus,GSM4160753,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.polysome.rep1,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160753
SRR10446757,56898503,1816505713,31,748,SRX7141428,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649569,SAMN13285496,simple,10090,Mus musculus,GSM4160754,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.Puromycin.rep1,testis,whole testis,C57B6,Mov10l1Mutant.Neurog3-cre,adult,GSM4160754
SRR10446758,50155914,1568532627,31,651,SRX7141429,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649570,SAMN13285495,simple,10090,Mus musculus,GSM4160755,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160755 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,Mov10l1Mutant.Neurog3-cre,adult,GSM4160755
SRR10446759,107178447,3111594032,29,1966,SRX7141430,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649571,SAMN13285494,simple,10090,Mus musculus,GSM4160756,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.rep1,testis,whole testis,C57B6,Mov10l1Mutant.Neurog3-cre,adult,GSM4160756
SRR10446760,11841533,358784181,30,231,SRX7141431,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649572,SAMN13285493,simple,10090,Mus musculus,GSM4160757,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.rep2,testis,whole testis,C57B6,Tdrd5CKOControl,adult,GSM4160757
SRR10446761,97284954,9728495400,100,3027,SRX7141432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650746,SAMN13285492,simple,10090,Mus musculus,GSM4160758,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Mov10l1Control.adult.rep1,testis,whole testis,C57B6,Tdrd5CKOTg.Stra8-cre,adult,GSM4160758
SRR10446762,63964226,6396422600,100,2080,SRX7141433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649573,SAMN13285491,simple,10090,Mus musculus,GSM4160759,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Mov10l1Control.adult.rep2,testis,whole testis,C57B6,wt,adult,GSM4160759
SRR10446763,53977004,5397700400,100,1608,SRX7141434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649574,SAMN13285490,simple,10090,Mus musculus,GSM4160760,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Mov10l1Control.adult.rep3,testis,whole testis,C57B6,wt,adult,GSM4160760
SRR10446764,97245559,9724555900,100,3060,SRX7141435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650747,SAMN13285489,simple,10090,Mus musculus,GSM4160761,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.rep1,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160761
SRR10446765,71718928,7171892800,100,2313,SRX7141436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649575,SAMN13285488,simple,10090,Mus musculus,GSM4160762,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.rep2,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160762
SRR10446766,52319867,5231986700,100,1567,SRX7141437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650748,SAMN13285487,simple,10090,Mus musculus,GSM4160763,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.rep3,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160763
SRR10446767,53484479,5348447900,100,1607,SRX7141438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650749,SAMN13285486,simple,10090,Mus musculus,GSM4160764,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Tdrd5CKOControl.Stra8-cre.adult.rep1,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160764
SRR10446768,60159044,6015904400,100,1806,SRX7141439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650750,SAMN13285485,simple,10090,Mus musculus,GSM4160765,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.Tdrd5CKOTg.Stra8-cre.adult.rep1,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160765
SRR10446769,100304768,10030476800,100,3188,SRX7141440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649576,SAMN13285484,simple,10090,Mus musculus,GSM4160766,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.wt.adult.Puromycin.rep1,testis,whole testis,C57B6,Mov10l1Control,adult,GSM4160766
SRR10446770,111898898,11189889800,100,3553,SRX7141441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650751,SAMN13285483,simple,10090,Mus musculus,GSM4160767,GEO,SRA239077,01,2020,Sun,testis,RNAseq.mouse.testis.wt.adult.Untreat.rep1,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160767
SRR10446771,6051454,611196854,101,205,SRX7141442,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649577,SAMN13285482,simple,10090,Mus musculus,GSM4160768,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Control.adult.ox.rep1,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160768
SRR10446772,15023898,751194900,50,327,SRX7141443,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650752,SAMN13285481,simple,10090,Mus musculus,GSM4160769,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Control.adult.ox.rep2,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160769
SRR10446773,8489708,424485400,50,184,SRX7141444,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649578,SAMN13285480,simple,10090,Mus musculus,GSM4160770,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Control.adult.ox.rep3,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160770
SRR10446774,4063605,203180250,50,61,SRX7141445,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649579,SAMN13285479,simple,10090,Mus musculus,GSM4160771,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Control.adult.unox.rep1,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160771
SRR10446775,15584998,779249900,50,340,SRX7141446,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5650753,SAMN13285478,simple,10090,Mus musculus,GSM4160772,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Control.adult.unox.rep2,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160772
SRR10446776,9387718,469385900,50,203,SRX7141447,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649580,SAMN13285477,simple,10090,Mus musculus,GSM4160773,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Control.adult.unox.rep3,testis,whole testis,C57B6,wt,adult,GSM4160773
SRR10446777,12537878,1266325678,101,427,SRX7141448,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649581,SAMN13285476,simple,10090,Mus musculus,GSM4160774,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.ox.rep1,testis,whole testis,C57B6,wt,adult,GSM4160774
SRR10446778,22214462,1110723100,50,479,SRX7141449,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649582,SAMN13285475,simple,10090,Mus musculus,GSM4160775,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.ox.rep2,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160775
SRR10446779,27934659,1396732950,50,607,SRX7141450,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649583,SAMN13285474,simple,10090,Mus musculus,GSM4160776,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.ox.rep3,testis,whole testis,C57B6,wt,adult,GSM4160776
SRR10446780,19065764,1768436398,92,562,SRX7141451,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649584,SAMN13285473,simple,10090,Mus musculus,GSM4160777,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.unox.rep1,testis,whole testis,C57B6,wt,adult,GSM4160777
SRR10446781,9043273,452163650,50,197,SRX7141452,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649585,SAMN13285528,simple,10090,Mus musculus,GSM4160778,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.unox.rep2,testis,whole testis,,wt,adult,GSM4160778
SRR10446782,36315116,1815755800,50,791,SRX7141453,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649586,SAMN13285527,simple,10090,Mus musculus,GSM4160779,GEO,SRA239077,01,2020,Sun,testis,SmallRNA.mouse.testis.Mov10l1Tg.Neurog3-cre.adult.unox.rep3,testis,whole testis,C57B6,Mov10l1CKOControl,adult,GSM4160779
