Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cultivar,tissue,Stage,age,fraction
SRR18584243,14299986,386090338,27,145,SRX14712850,GSM5994110,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475184,SAMN27178133,simple,4577,Zea mays,GSM5994110,Huazhong Agricultural University,SRA1400805,10,2022,Makar,29-Kernel(6DAP),"B73, ribo-12 rep2",29-Kernel(6DAP),B73,Kernel(6DAP),6DAP,6DAP,mRNA bound by ribosome
SRR18584242,45806056,1247337633,27,477,SRX14712851,GSM5994111,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475186,SAMN27178132,simple,4577,Zea mays,GSM5994111,Huazhong Agricultural University,SRA1400805,10,2022,Makar,30-Embryo(15DAP),"B73, ribo-13 rep1",30-Embryo(15DAP),B73,Embryo(15DAP),15DAP,15DAP,mRNA bound by ribosome
SRR18584241,21783957,577543208,26,222,SRX14712852,GSM5994112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475185,SAMN27178131,simple,4577,Zea mays,GSM5994112,Huazhong Agricultural University,SRA1400805,10,2022,Makar,30-Embryo(15DAP),"B73, ribo-13 rep2",30-Embryo(15DAP),B73,Embryo(15DAP),15DAP,15DAP,mRNA bound by ribosome
SRR18584240,17625201,487600008,27,188,SRX14712853,GSM5994113,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475187,SAMN27178130,simple,4577,Zea mays,GSM5994113,Huazhong Agricultural University,SRA1400805,10,2022,Makar,31-Embryo(20DAP),"B73, ribo-14 rep1",31-Embryo(20DAP),B73,Embryo(20DAP),20DAP,20DAP,mRNA bound by ribosome
SRR18584239,13849438,363147940,26,142,SRX14712854,GSM5994103,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475188,SAMN27178140,simple,4577,Zea mays,GSM5994103,Huazhong Agricultural University,SRA1400805,10,2022,Makar,22-5mmear,"B73, ribo-9 rep1",22-5mmear,B73,5mmear,5mmear,5mmear,mRNA bound by ribosome
SRR18584238,55710791,1597066174,28,591,SRX14712855,GSM5994116,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475189,SAMN27178127,simple,4577,Zea mays,GSM5994116,Huazhong Agricultural University,SRA1400805,10,2022,Makar,32-Endosperm(15DAP),"B73, ribo-15 rep2",32-Endosperm(15DAP),B73,Endosperm(15DAP),15DAP,15DAP,mRNA bound by ribosome
SRR18584237,25789186,723419953,28,273,SRX14712856,GSM5994117,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475190,SAMN27178126,simple,4577,Zea mays,GSM5994117,Huazhong Agricultural University,SRA1400805,10,2022,Makar,33-Endosperm(20DAP),"B73, ribo-16 rep1",33-Endosperm(20DAP),B73,Endosperm(20DAP),20DAP,20DAP,mRNA bound by ribosome
SRR18584236,28872006,808877282,28,307,SRX14712857,GSM5994118,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475193,SAMN27178125,simple,4577,Zea mays,GSM5994118,Huazhong Agricultural University,SRA1400805,10,2022,Makar,33-Endosperm(20DAP),"B73, ribo-16 rep2",33-Endosperm(20DAP),B73,Endosperm(20DAP),20DAP,20DAP,mRNA bound by ribosome
SRR18584235,46605284,906144972,19,1169,SRX14712858,GSM5994119,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475191,SAMN27178124,simple,4577,Zea mays,GSM5994119,Huazhong Agricultural University,SRA1400805,10,2022,Makar,02-Primary Root(V1),"B73, srna-1 rep1",02-Primary Root(V1),B73,Primary Root(V1),V1,V1,small RNA
SRR18584234,47638627,880440019,18,1170,SRX14712859,GSM5994120,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475192,SAMN27178123,simple,4577,Zea mays,GSM5994120,Huazhong Agricultural University,SRA1400805,10,2022,Makar,02-Primary Root(V1),"B73, srna-1 rep2",02-Primary Root(V1),B73,Primary Root(V1),V1,V1,small RNA
SRR18584233,14552581,262724617,18,156,SRX14712860,GSM5994121,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475194,SAMN27178122,simple,4577,Zea mays,GSM5994121,Huazhong Agricultural University,SRA1400805,10,2022,Makar,04-Seedling(6DAS),"B73, srna-2 rep1",04-Seedling(6DAS),B73,Seedling(6DAS),6DAS,6DAS,small RNA
SRR18584232,15807970,314356873,19,188,SRX14712861,GSM5994122,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475195,SAMN27178121,simple,4577,Zea mays,GSM5994122,Huazhong Agricultural University,SRA1400805,10,2022,Makar,04-Seedling(6DAS),"B73, srna-2 rep2",04-Seedling(6DAS),B73,Seedling(6DAS),6DAS,6DAS,small RNA
SRR18584231,9583288,205007912,21,117,SRX14712862,GSM5994123,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475196,SAMN27178120,simple,4577,Zea mays,GSM5994123,Huazhong Agricultural University,SRA1400805,10,2022,Makar,06-Topmost Leaf-N(V3),"B73, srna-3 rep1",06-Topmost Leaf-N(V3),B73,Topmost Leaf-N(V3),V3,V3,small RNA
SRR18584230,8786300,195609544,22,110,SRX14712863,GSM5994124,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475197,SAMN27178119,simple,4577,Zea mays,GSM5994124,Huazhong Agricultural University,SRA1400805,10,2022,Makar,06-Topmost Leaf-N(V3),"B73, srna-3 rep2",06-Topmost Leaf-N(V3),B73,Topmost Leaf-N(V3),V3,V3,small RNA
SRR18584229,21301186,388859441,18,534,SRX14712864,GSM5994125,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475198,SAMN27178118,simple,4577,Zea mays,GSM5994125,Huazhong Agricultural University,SRA1400805,10,2022,Makar,08-First Leaf-N(V3),"B73, srna-4 rep1",08-First Leaf-N(V3),B73,First Leaf-N(V3),V3,V3,small RNA
SRR18584228,13860482,372137167,26,143,SRX14712865,GSM5994114,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475199,SAMN27178129,simple,4577,Zea mays,GSM5994114,Huazhong Agricultural University,SRA1400805,10,2022,Makar,31-Embryo(20DAP),"B73, ribo-14 rep2",31-Embryo(20DAP),B73,Embryo(20DAP),20DAP,20DAP,mRNA bound by ribosome
SRR18584226,58752738,1661003435,28,610,SRX14712866,GSM5994115,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475200,SAMN27178128,simple,4577,Zea mays,GSM5994115,Huazhong Agricultural University,SRA1400805,10,2022,Makar,32-Endosperm(15DAP),"B73, ribo-15 rep1",32-Endosperm(15DAP),B73,Endosperm(15DAP),15DAP,15DAP,mRNA bound by ribosome
SRR18584225,32550916,3255091600,100,2050,SRX14712867,GSM5994196,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475201,SAMN27178047,simple,4577,Zea mays,GSM5994196,Huazhong Agricultural University,SRA1400805,10,2022,Makar,27-1cmtassel,"B73, circ-18 rep2",27-1cmtassel,B73,1cmtassel,1cmtassel,1cmtassel,circular RNA
SRR18584224,44676258,4467625800,100,2430,SRX14712868,GSM5994197,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475202,SAMN27178046,simple,4577,Zea mays,GSM5994197,Huazhong Agricultural University,SRA1400805,10,2022,Makar,29-Kernel(6DAP),"B73, circ-19 rep1",29-Kernel(6DAP),B73,Kernel(6DAP),6DAP,6DAP,circular RNA
SRR18584223,44292388,4429238800,100,2412,SRX14712869,GSM5994198,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475203,SAMN27178045,simple,4577,Zea mays,GSM5994198,Huazhong Agricultural University,SRA1400805,10,2022,Makar,29-Kernel(6DAP),"B73, circ-19 rep2",29-Kernel(6DAP),B73,Kernel(6DAP),6DAP,6DAP,circular RNA
SRR18584222,93738248,9373824800,100,5222,SRX14712870,GSM5994199,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475204,SAMN27178044,simple,4577,Zea mays,GSM5994199,Huazhong Agricultural University,SRA1400805,10,2022,Makar,31-Embryo(20DAP),"B73, circ-20 rep1",31-Embryo(20DAP),B73,Embryo(20DAP),20DAP,20DAP,circular RNA
SRR18584221,82320538,8232053800,100,4613,SRX14712871,GSM5994200,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475206,SAMN27178043,simple,4577,Zea mays,GSM5994200,Huazhong Agricultural University,SRA1400805,10,2022,Makar,31-Embryo(20DAP),"B73, circ-20 rep2",31-Embryo(20DAP),B73,Embryo(20DAP),20DAP,20DAP,circular RNA
SRR18584220,38046804,3804680400,100,2384,SRX14712872,GSM5994201,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475205,SAMN27178042,simple,4577,Zea mays,GSM5994201,Huazhong Agricultural University,SRA1400805,10,2022,Makar,32-Endosperm(15DAP),"B73, circ-21 rep1",32-Endosperm(15DAP),B73,Endosperm(15DAP),15DAP,15DAP,circular RNA
SRR18584218,35679290,3567929000,100,2201,SRX14712873,GSM5994202,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475207,SAMN27178041,simple,4577,Zea mays,GSM5994202,Huazhong Agricultural University,SRA1400805,10,2022,Makar,32-Endosperm(15DAP),"B73, circ-21 rep2",32-Endosperm(15DAP),B73,Endosperm(15DAP),15DAP,15DAP,circular RNA
SRR18584217,198945348,19894534800,100,12380,SRX14712874,GSM5994203,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475208,SAMN27178040,simple,4577,Zea mays,GSM5994203,Huazhong Agricultural University,SRA1400805,10,2022,Makar,01-Root(6DAS),"B73, mrna-1 rep1",01-Root(6DAS),B73,Root(6DAS),6DAS,6DAS,mRNA
SRR18584216,186903714,18690371400,100,11463,SRX14712875,GSM5994204,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475209,SAMN27178039,simple,4577,Zea mays,GSM5994204,Huazhong Agricultural University,SRA1400805,10,2022,Makar,01-Root(6DAS),"B73, mrna-2 rep1",01-Root(6DAS),B73,Root(6DAS),6DAS,6DAS,mRNA
SRR18584219,204899642,20489964200,100,12590,SRX14712876,GSM5994205,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475212,SAMN27178038,simple,4577,Zea mays,GSM5994205,Huazhong Agricultural University,SRA1400805,10,2022,Makar,02-Primary Root(V1),"B73, mrna-3 rep1",02-Primary Root(V1),B73,Primary Root(V1),V1,V1,mRNA
SRR18584215,38797380,3879738000,100,2444,SRX14712877,GSM5994194,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475210,SAMN27178049,simple,4577,Zea mays,GSM5994194,Huazhong Agricultural University,SRA1400805,10,2022,Makar,25-Inflorescence,"B73, circ-17 rep2",25-Inflorescence,B73,Inflorescence,Inflorescence,Inflorescence,circular RNA
SRR18584214,36312790,3631279000,100,2272,SRX14712878,GSM5994195,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475211,SAMN27178048,simple,4577,Zea mays,GSM5994195,Huazhong Agricultural University,SRA1400805,10,2022,Makar,27-1cmtassel,"B73, circ-18 rep1",27-1cmtassel,B73,1cmtassel,1cmtassel,1cmtassel,circular RNA
SRR18584213,219704576,21970457600,100,13685,SRX14712879,GSM5994207,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475213,SAMN27178036,simple,4577,Zea mays,GSM5994207,Huazhong Agricultural University,SRA1400805,10,2022,Makar,04-Seedling(6DAS),"B73, mrna-5 rep1",04-Seedling(6DAS),B73,Seedling(6DAS),6DAS,6DAS,mRNA
SRR18584212,249045282,24904528200,100,15313,SRX14712880,GSM5994208,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475214,SAMN27178035,simple,4577,Zea mays,GSM5994208,Huazhong Agricultural University,SRA1400805,10,2022,Makar,04-Seedling(6DAS),"B73, mrna-6 rep1",04-Seedling(6DAS),B73,Seedling(6DAS),6DAS,6DAS,mRNA
SRR18584210,233386196,23338619600,100,14244,SRX14712881,GSM5994209,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475215,SAMN27178034,simple,4577,Zea mays,GSM5994209,Huazhong Agricultural University,SRA1400805,10,2022,Makar,06-Topmost Leaf-N(V3),"B73, mrna-7 rep1",06-Topmost Leaf-N(V3),B73,Topmost Leaf-N(V3),V3,V3,mRNA
SRR18584209,219449480,21944948000,100,13618,SRX14712882,GSM5994210,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475216,SAMN27178033,simple,4577,Zea mays,GSM5994210,Huazhong Agricultural University,SRA1400805,10,2022,Makar,06-Topmost Leaf-N(V3),"B73, mrna-8 rep1",06-Topmost Leaf-N(V3),B73,Topmost Leaf-N(V3),V3,V3,mRNA
SRR18584208,228985610,22898561000,100,13832,SRX14712883,GSM5994211,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475217,SAMN27178032,simple,4577,Zea mays,GSM5994211,Huazhong Agricultural University,SRA1400805,10,2022,Makar,08-First Leaf-N(V3),"B73, mrna-9 rep1",08-First Leaf-N(V3),B73,First Leaf-N(V3),V3,V3,mRNA
SRR18584211,205779318,20577931800,100,12776,SRX14712884,GSM5994212,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475218,SAMN27178031,simple,4577,Zea mays,GSM5994212,Huazhong Agricultural University,SRA1400805,10,2022,Makar,08-First Leaf-N(V3),"B73, mrna-10 rep1",08-First Leaf-N(V3),B73,First Leaf-N(V3),V3,V3,mRNA
SRR18584207,224330162,22433016200,100,13874,SRX14712885,GSM5994213,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475219,SAMN27178030,simple,4577,Zea mays,GSM5994213,Huazhong Agricultural University,SRA1400805,10,2022,Makar,09-Third Leaf(V3),"B73, mrna-11 rep1",09-Third Leaf(V3),B73,Third Leaf(V3),V3,V3,mRNA
SRR18584206,263786136,26378613600,100,16395,SRX14712886,GSM5994214,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475220,SAMN27178029,simple,4577,Zea mays,GSM5994214,Huazhong Agricultural University,SRA1400805,10,2022,Makar,09-Third Leaf(V3),"B73, mrna-12 rep1",09-Third Leaf(V3),B73,Third Leaf(V3),V3,V3,mRNA
SRR18584138,179747054,17974705400,100,11032,SRX14712887,GSM5994215,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP367247,PRJNA822292,1,"",SRS12475221,SAMN27178028,simple,4577,Zea mays,GSM5994215,Huazhong Agricultural University,SRA1400805,10,2022,Makar,11-Tip of Stage 2 Leaf-N(V5),"B73, mrna-13 rep1",11-Tip of Stage 2 Leaf-N(V5),B73,Tip of Stage 2 Leaf-N(V5),V5,V5,mRNA
SRR18584205,9144595,10843208530,1185,2649,SRX14712888,GSM5994076,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475223,SAMN27178167,simple,4577,Zea mays,GSM5994076,Huazhong Agricultural University,SRA1400805,10,2022,Makar,Ear (2 mm); Tassel (2 mm); Ear (5 mm),"B73, Group 5",Ear (2 mm); Tassel (2 mm); Ear (5 mm),B73,Ear (2 mm); Tassel (2 mm); Ear (5 mm),Ear (2 mm); Tassel (2 mm); Ear (5 mm),Ear (2 mm); Tassel (2 mm); Ear (5 mm),cDNA
SRR18584204,3918528,109463482,27,41,SRX14712889,GSM5994087,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP367247,PRJNA822292,1,"",SRS12475222,SAMN27178156,simple,4577,Zea mays,GSM5994087,Huazhong Agricultural University,SRA1400805,10,2022,Makar,01-Root(6DAS),"B73, ribo-1 rep1",01-Root(6DAS),B73,Root(6DAS),6DAS,6DAS,mRNA bound by ribosome
SRR18584203,5572964,10088548898,1810,2452,SRX14712890,GSM5994086,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475224,SAMN27178157,simple,4577,Zea mays,GSM5994086,Huazhong Agricultural University,SRA1400805,10,2022,Makar,SAM (V3),"B73, Group 4 rep2",SAM (V3),B73,SAM (V3),V3,V3,cDNA
SRR18584202,4338165,8587175152,1979,2085,SRX14712891,GSM5994085,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475225,SAMN27178158,simple,4577,Zea mays,GSM5994085,Huazhong Agricultural University,SRA1400805,10,2022,Makar,Anther; Tassel (2 cm),"B73, Group 7 rep2",Anther; Tassel (2 cm),B73,Anther; Tassel (2 cm),Anther; Tassel (2 cm),Anther; Tassel (2 cm),cDNA
SRR18584201,5049905,8561939869,1695,2082,SRX14712892,GSM5994084,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475226,SAMN27178159,simple,4577,Zea mays,GSM5994084,Huazhong Agricultural University,SRA1400805,10,2022,Makar,First Leaf - L(V3); Topmost Leaf - L(V3); Tip of 2 Stage leaf - L(V5); Base of 2 Stage leaf - L (V5); Husk leaf; Ear leaf,"B73, Group 2",First Leaf - L(V3); Topmost Leaf - L(V3); Tip of 2 Stage leaf - L(V5); Base of 2 Stage leaf - L (V5); Husk leaf; Ear leaf,B73,First Leaf - L(V3); Topmost Leaf - L(V3); Tip of 2 Stage leaf - L(V5); Base of 2 Stage leaf - L (V5); Husk leaf; Ear leaf,First Leaf - L(V3); Topmost Leaf - L(V3); Tip of 2 Stage leaf - L(V5); Base of 2 Stage leaf - L (V5); Husk leaf; Ear leaf,First Leaf - L(V3); Topmost Leaf - L(V3); Tip of 2 Stage leaf - L(V5); Base of 2 Stage leaf - L (V5); Husk leaf; Ear leaf,cDNA
SRR18584200,4755350,7995945706,1681,1945,SRX14712893,GSM5994083,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP367247,PRJNA822292,1,"",SRS12475227,SAMN27178160,simple,4577,Zea mays,GSM5994083,Huazhong Agricultural University,SRA1400805,10,2022,Makar,SAM (V3),"B73, Group 4 rep1",SAM (V3),B73,SAM (V3),SAM (V3),SAM (V3),cDNA
