Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,protocol,time point,molecule subtype,treatment,GEO Accession
SRR3666761,46127579,9317770958,101,3250,SRX1845167,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504007,SAMN05249082,simple,10090,Mus musculus,GSM2200055,GEO,SRA433945,04,2017,Davari,NT 4h,NT 4h_rep2,NT 4h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,4h,4sU RNA,,GSM2200055
SRR3666762,57233752,11561217904,101,4078,SRX1845168,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504008,SAMN05249086,simple,10090,Mus musculus,GSM2200056,GEO,SRA433945,04,2017,Davari,Total 0h,Total 0h_rep2,Total 0h,Th1 effector cell (CD4+ T cell),DO11.10,total RNA,0h,total RNA,,GSM2200056
SRR3666763,47013039,9496633878,101,3334,SRX1845169,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504009,SAMN05249094,simple,10090,Mus musculus,GSM2200057,GEO,SRA433945,04,2017,Davari,Total 1h,Total 1h_rep2,Total 1h,Th1 effector cell (CD4+ T cell),DO11.10,total RNA,1h,total RNA,,GSM2200057
SRR3666764,51986133,10501198866,101,3691,SRX1845170,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504010,SAMN05249100,simple,10090,Mus musculus,GSM2200058,GEO,SRA433945,04,2017,Davari,Total 4h,Total 4h_rep2,Total 4h,Th1 effector cell (CD4+ T cell),DO11.10,total RNA,4h,total RNA,,GSM2200058
SRR3666765,53499060,10806810120,101,3772,SRX1845171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504011,SAMN05249105,simple,10090,Mus musculus,GSM2200059,GEO,SRA433945,04,2017,Davari,NT 0h_30min labeling,NT 0h_30min labeling,NT 0h_30min labeling,Th1 effector cell (CD4+ T cell),DO11.10,,0h,4sU RNA,metabolic labeling of newly transcribed RNA with 4sU (0.5h of labeling),GSM2200059
SRR3666766,55632009,11237665818,101,3903,SRX1845172,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504012,SAMN05249110,simple,10090,Mus musculus,GSM2200060,GEO,SRA433945,04,2017,Davari,NT 0.5h_30min labeling,NT 0.5h_30min labeling,NT 0.5h_30min labeling,Th1 effector cell (CD4+ T cell),DO11.10,,0.5h,4sU RNA,metabolic labeling of newly transcribed RNA with 4sU (0.5h of labeling),GSM2200060
SRR3666767,93225403,18831531406,101,6949,SRX1845173,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504013,SAMN05249113,simple,10090,Mus musculus,GSM2200061,GEO,SRA433945,04,2017,Davari,RP 0h,RP 0h_rep1,RP 0h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,0h,ribosome-associated mRNA,,GSM2200061
SRR3666768,104092787,21026742974,101,7698,SRX1845174,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504014,SAMN05249118,simple,10090,Mus musculus,GSM2200062,GEO,SRA433945,04,2017,Davari,RP 0.5h,RP 0.5h_rep1,RP 0.5h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,0.5h,ribosome-associated mRNA,,GSM2200062
SRR3666769,108241167,21864715734,101,7885,SRX1845175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504015,SAMN05249122,simple,10090,Mus musculus,GSM2200063,GEO,SRA433945,04,2017,Davari,RP 1h,RP 1h_rep1,RP 1h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,1h,ribosome-associated mRNA,,GSM2200063
SRR3666770,100946016,20391095232,101,7450,SRX1845176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504016,SAMN05249126,simple,10090,Mus musculus,GSM2200064,GEO,SRA433945,04,2017,Davari,RP 2h,RP 2h_rep1,RP 2h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,2h,ribosome-associated mRNA,,GSM2200064
SRR3666771,105914111,21394650422,101,7705,SRX1845177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504017,SAMN05249131,simple,10090,Mus musculus,GSM2200065,GEO,SRA433945,04,2017,Davari,RP 4h,RP 4h_rep1,RP 4h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,4h,ribosome-associated mRNA,,GSM2200065
SRR3666772,92376360,18660024720,101,6713,SRX1845178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504018,SAMN05249138,simple,10090,Mus musculus,GSM2200066,GEO,SRA433945,04,2017,Davari,RP 0h,RP 0h_rep2,RP 0h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,0h,ribosome-associated mRNA,,GSM2200066
SRR3666773,103144951,20835280102,101,7397,SRX1845179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504019,SAMN05249143,simple,10090,Mus musculus,GSM2200067,GEO,SRA433945,04,2017,Davari,RP 1h,RP 1h_rep2,RP 1h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,1h,ribosome-associated mRNA,,GSM2200067
SRR3666774,93149568,18816212736,101,6701,SRX1845180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504020,SAMN05249149,simple,10090,Mus musculus,GSM2200068,GEO,SRA433945,04,2017,Davari,RP 4h,RP 4h_rep2,RP 4h,Th1 effector cell (CD4+ T cell),DO11.10,ribosome profiling,4h,ribosome-associated mRNA,,GSM2200068
