Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,cell type,genotype,tumor,GEO Accession
SRR4341176,10167979,757271227,74,277,SRX2208283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725642,SAMN05859817,simple,10090,Mus musculus,GSM2334717,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334720
SRR4341177,10698351,796719064,74,295,SRX2208284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725644,SAMN05859816,simple,10090,Mus musculus,GSM2334718,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334721
SRR4341178,10562820,786625344,74,290,SRX2208284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725644,SAMN05859816,simple,10090,Mus musculus,GSM2334718,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334722
SRR4341179,11223132,835789268,74,302,SRX2208284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725644,SAMN05859816,simple,10090,Mus musculus,GSM2334718,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334723
SRR4341180,11168892,831751052,74,300,SRX2208284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725644,SAMN05859816,simple,10090,Mus musculus,GSM2334718,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334724
SRR4341181,9766968,727389387,74,269,SRX2208285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725646,SAMN05859815,simple,10090,Mus musculus,GSM2334719,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep3,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334725
SRR4341182,9623456,716700943,74,264,SRX2208285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725646,SAMN05859815,simple,10090,Mus musculus,GSM2334719,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep3,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334726
SRR4341183,10240918,762672527,74,276,SRX2208285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725646,SAMN05859815,simple,10090,Mus musculus,GSM2334719,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334709
SRR4341184,10163293,756900208,74,273,SRX2208285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725646,SAMN05859815,simple,10090,Mus musculus,GSM2334719,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334710
SRR4341185,10676535,794994437,74,293,SRX2208286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725647,SAMN05859814,simple,10090,Mus musculus,GSM2334720,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334711
SRR4341186,10508012,782446550,74,287,SRX2208286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725647,SAMN05859814,simple,10090,Mus musculus,GSM2334720,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334712
SRR4341187,11179824,832467722,74,300,SRX2208286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725647,SAMN05859814,simple,10090,Mus musculus,GSM2334720,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334713
SRR4341188,11097863,826368066,74,297,SRX2208286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725647,SAMN05859814,simple,10090,Mus musculus,GSM2334720,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334714
SRR4341189,10788014,802729585,74,295,SRX2208287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725645,SAMN05859813,simple,10090,Mus musculus,GSM2334721,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep5,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334715
SRR4341190,10607848,789329024,74,288,SRX2208287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725645,SAMN05859813,simple,10090,Mus musculus,GSM2334721,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep5,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334716
SRR4341191,11262853,838057957,74,300,SRX2208287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725645,SAMN05859813,simple,10090,Mus musculus,GSM2334721,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep5,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334717
SRR4341192,11167858,831008019,74,297,SRX2208287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725645,SAMN05859813,simple,10090,Mus musculus,GSM2334721,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep5,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334718
SRR4341193,10180105,757949321,74,280,SRX2208288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725648,SAMN05859822,simple,10090,Mus musculus,GSM2334722,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334719
SRR4341194,10041097,747607580,74,275,SRX2208288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725648,SAMN05859822,simple,10090,Mus musculus,GSM2334722,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334720
SRR4341195,10658016,793530697,74,286,SRX2208288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725648,SAMN05859822,simple,10090,Mus musculus,GSM2334722,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334721
SRR4341196,10602936,789429715,74,284,SRX2208288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725648,SAMN05859822,simple,10090,Mus musculus,GSM2334722,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334722
SRR4341197,9259960,689482504,74,260,SRX2208289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725649,SAMN05859823,simple,10090,Mus musculus,GSM2334723,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334723
SRR4341198,9061403,674688990,74,254,SRX2208289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725649,SAMN05859823,simple,10090,Mus musculus,GSM2334723,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334724
SRR4341199,9734515,724804566,74,267,SRX2208289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725649,SAMN05859823,simple,10090,Mus musculus,GSM2334723,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334725
SRR4341200,9645008,718135942,74,264,SRX2208289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725649,SAMN05859823,simple,10090,Mus musculus,GSM2334723,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep2,Hepatoblastoma Tumor,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,,Myc-/-,hepatoblastoma,GSM2334726
SRR4341201,9419541,701542637,74,258,SRX2208290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725650,SAMN05859826,simple,10090,Mus musculus,GSM2334724,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334709
SRR4341202,9286028,691609866,74,254,SRX2208290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725650,SAMN05859826,simple,10090,Mus musculus,GSM2334724,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334710
SRR4341203,9870705,735144597,74,265,SRX2208290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725650,SAMN05859826,simple,10090,Mus musculus,GSM2334724,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334711
SRR4341204,9820525,731412127,74,262,SRX2208290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725650,SAMN05859826,simple,10090,Mus musculus,GSM2334724,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334712
SRR4341205,10087172,751176668,74,277,SRX2208291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725652,SAMN05859825,simple,10090,Mus musculus,GSM2334725,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334713
SRR4341206,9933462,739739825,74,271,SRX2208291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725652,SAMN05859825,simple,10090,Mus musculus,GSM2334725,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334714
SRR4341207,10551240,785741991,74,283,SRX2208291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725652,SAMN05859825,simple,10090,Mus musculus,GSM2334725,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334715
SRR4341208,10477399,780237926,74,280,SRX2208291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725652,SAMN05859825,simple,10090,Mus musculus,GSM2334725,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334716
SRR4341209,11263029,838730976,74,308,SRX2208292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725651,SAMN05859824,simple,10090,Mus musculus,GSM2334726,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep5,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334717
SRR4341210,11070484,824387206,74,302,SRX2208292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725651,SAMN05859824,simple,10090,Mus musculus,GSM2334726,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep5,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334718
SRR4341211,11794390,878289712,74,315,SRX2208292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725651,SAMN05859824,simple,10090,Mus musculus,GSM2334726,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep5,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334719
SRR4341212,11708821,871927933,74,312,SRX2208292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725651,SAMN05859824,simple,10090,Mus musculus,GSM2334726,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,KO Hepatoblastoma rep5,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334720
