Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,organism,organism,ENA-LAST-UPDATE,growth condition,scientific_name,organism part,developmental stage,genotype,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Experimental Factor: genotype
ERR11169763,3379461,288094727,48,109,ERX10603282,Δmsmeg_0945-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849940,SAMEA112843331,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_0945-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_0945-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169764,3421193,291651382,48,110,ERX10603282,Δmsmeg_0945-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849940,SAMEA112843331,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_0945-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_0945-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169765,3612779,302401400,48,118,ERX10603283,Δmsmeg_1916-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849941,SAMEA112843332,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_0945,2023-04-07,2023-04-07,Δmsmeg_0945
ERR11169766,3641662,304818783,48,118,ERX10603283,Δmsmeg_1916-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849941,SAMEA112843332,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
ERR11169767,3454164,289124683,48,112,ERX10603283,Δmsmeg_1916-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849941,SAMEA112843332,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
ERR11169768,3526482,295178278,48,115,ERX10603283,Δmsmeg_1916-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849941,SAMEA112843332,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169769,3320630,283297110,48,108,ERX10603284,Δmsmeg_1916-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849942,SAMEA112843333,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169770,3279648,279798476,48,106,ERX10603284,Δmsmeg_1916-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849942,SAMEA112843333,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_0945,2023-04-07,2023-04-07,Δmsmeg_0945
ERR11169771,3239674,276388175,48,105,ERX10603284,Δmsmeg_1916-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849942,SAMEA112843333,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
ERR11169772,3215063,274291761,48,104,ERX10603284,Δmsmeg_1916-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849942,SAMEA112843333,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_1916-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_1916-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
