Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,molecule subtype,tissue,strain,plasmid,genotype/variation,GEO Accession
SRR7241923,31263283,1563164150,50,844,SRX4147696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361287,SAMN09288710,simple,4932,Saccharomyces cerevisiae,GSM3168400,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXANS profiling,Wild-Type CHXANS profiling 2,Wild-Type CHXANS profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168401
SRR7241924,19831598,991579900,50,464,SRX4147697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361288,SAMN09288709,simple,4932,Saccharomyces cerevisiae,GSM3168401,GEO,SRA713167,01,2019,Tesina,Wild-Type stationary phase profiling,Wild-Type stationary phase profiling 1,Wild-Type stationary phase profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168402
SRR7241925,29530791,1476539550,50,799,SRX4147698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361289,SAMN09288708,simple,4932,Saccharomyces cerevisiae,GSM3168402,GEO,SRA713167,01,2019,Tesina,Wild-Type stationary phase profiling,Wild-Type stationary phase profiling 2,Wild-Type stationary phase profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168403
SRR7241926,24535892,1226794600,50,656,SRX4147699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361290,SAMN09288707,simple,4932,Saccharomyces cerevisiae,GSM3168403,GEO,SRA713167,01,2019,Tesina,Wild-Type oxidative stress profiling,Wild-Type oxidative stress profiling 1,Wild-Type oxidative stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168404
SRR7241927,29177985,1458899250,50,704,SRX4147700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361291,SAMN09288737,simple,4932,Saccharomyces cerevisiae,GSM3168404,GEO,SRA713167,01,2019,Tesina,Wild-Type oxidative stress profiling,Wild-Type oxidative stress profiling 2,Wild-Type oxidative stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168405
SRR7241928,24219303,1210965150,50,649,SRX4147701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361292,SAMN09288736,simple,4932,Saccharomyces cerevisiae,GSM3168405,GEO,SRA713167,01,2019,Tesina,rck2∆ oxidative stress profiling,rck2∆ oxidative stress profiling 1,rck2∆ oxidative stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,rck2{delta},GSM3168406
SRR7241929,27949850,1397492500,50,748,SRX4147702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361293,SAMN09288735,simple,4932,Saccharomyces cerevisiae,GSM3168406,GEO,SRA713167,01,2019,Tesina,rck2∆ oxidative stress profiling,rck2∆ oxidative stress profiling 2,rck2∆ oxidative stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,rck2{delta},GSM3168407
SRR7241930,26790983,1339549150,50,718,SRX4147703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361294,SAMN09288706,simple,4932,Saccharomyces cerevisiae,GSM3168407,GEO,SRA713167,01,2019,Tesina,Wild-Type hyperosmotic stress profiling,Wild-Type hyperosmotic stress profiling 1,Wild-Type hyperosmotic stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168408
SRR7241931,34474258,1723712900,50,928,SRX4147704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361295,SAMN09288705,simple,4932,Saccharomyces cerevisiae,GSM3168408,GEO,SRA713167,01,2019,Tesina,Wild-Type hyperosmotic stress profiling,Wild-Type hyperosmotic stress profiling 2,Wild-Type hyperosmotic stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,Wild-Type,GSM3168409
SRR7241932,24786500,1239325000,50,665,SRX4147705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361296,SAMN09288739,simple,4932,Saccharomyces cerevisiae,GSM3168409,GEO,SRA713167,01,2019,Tesina,rck2∆ hyperosmotic stress profiling,rck2∆ hyperosmotic stress profiling 1,rck2∆ hyperosmotic stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,rck2{delta},GSM3168410
SRR7241933,33382094,1669104700,50,867,SRX4147706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3361297,SAMN09288738,simple,4932,Saccharomyces cerevisiae,GSM3168410,GEO,SRA713167,01,2019,Tesina,rck2∆ hyperosmotic stress profiling,rck2∆ hyperosmotic stress profiling 2,rck2∆ hyperosmotic stress profiling,,Ribosome Protected mRNA (15-34 nt),,,,rck2{delta},GSM3442054
SRR8093855,22566920,1128346000,50,613,SRX4920713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966049,SAMN10278471,simple,4932,Saccharomyces cerevisiae,GSM3442054,GEO,SRA713167,01,2019,Tesina,gamma toxin CHXTIG profiling,gamma toxin CHXTIG profiling 1,gamma toxin CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,yCW66,,,GSM3442055
SRR8093856,32561945,1628097250,50,822,SRX4920714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966050,SAMN10278470,simple,4932,Saccharomyces cerevisiae,GSM3442055,GEO,SRA713167,01,2019,Tesina,gamma toxin CHXTIG profiling,gamma toxin CHXTIG profiling 2,gamma toxin CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,yCW66,,,GSM3442056
SRR8093857,28117461,1405873050,50,698,SRX4920715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966051,SAMN10278469,simple,4932,Saccharomyces cerevisiae,GSM3442056,GEO,SRA713167,01,2019,Tesina,3AT_CHXTIG profiling,3AT_CHXTIG profiling 2,3AT_CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,yCW19,,,GSM3442057
SRR8093858,20320256,1016012800,50,508,SRX4920716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966052,SAMN10278468,simple,4932,Saccharomyces cerevisiae,GSM3442057,GEO,SRA713167,01,2019,Tesina,Wild-Type CHXTIG profiling,Wild-Type CHXTIG profiling 4,Wild-Type CHXTIG profiling,,Ribosome Protected mRNA (15-34 nt),,Wild-Type,,,GSM3442058
SRR8093859,22358456,1117922800,50,561,SRX4920717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149446,PRJNA473989,31858614,"",SRS3966053,SAMN10278467,simple,4932,Saccharomyces cerevisiae,GSM3442058,GEO,SRA713167,01,2019,Tesina,Wild-Type oxidative stress profiling,Wild-Type oxidative stress profiling 3,Wild-Type oxidative stress profiling,,Ribosome Protected mRNA (15-34 nt),,Wild-Type,,,GSM3168387
