Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,Sex,exposed to,tissue,GEO Accession
SRR1282292,4491942,898388400,100,500,SRX539704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604811,SAMN02768227,simple,8032,Salmo trutta,GSM1383696,GEO,SRA163246,05,2015,Uren,1.7 ug linuron_liver,LL2,1.7 ug linuron_liver,adult,male,1.7µg/L linuron for 4 days,liver,GSM1383696
SRR1282293,6494931,1298986200,100,722,SRX539705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604812,SAMN02768243,simple,8032,Salmo trutta,GSM1383697,GEO,SRA163246,05,2015,Uren,1.7 ug linuron_liver,LL3,1.7 ug linuron_liver,adult,male,1.7µg/L linuron for 4 days,liver,GSM1383697
SRR1282294,3746753,749350600,100,416,SRX539706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604813,SAMN02768241,simple,8032,Salmo trutta,GSM1383698,GEO,SRA163246,05,2015,Uren,15.3 ug linuron_liver,ML1,15.3 ug linuron_liver,adult,male,15.3µg/L linuron for 4 days,liver,GSM1383698
SRR1282295,4623201,924640200,100,517,SRX539707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604816,SAMN02768239,simple,8032,Salmo trutta,GSM1383699,GEO,SRA163246,05,2015,Uren,15.3 ug linuron_liver,ML2,15.3 ug linuron_liver,adult,male,15.3µg/L linuron for 4 days,liver,GSM1383699
SRR1282296,3595134,719026800,100,399,SRX539708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604815,SAMN02768248,simple,8032,Salmo trutta,GSM1383700,GEO,SRA163246,05,2015,Uren,15.3 ug linuron_liver,ML3,15.3 ug linuron_liver,adult,male,15.3µg/L linuron for 4 days,liver,GSM1383700
SRR1282297,6268913,1253782600,100,697,SRX539709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604817,SAMN02768240,simple,8032,Salmo trutta,GSM1383701,GEO,SRA163246,05,2015,Uren,225.9 ug linuron_liver,HL1,225.9 ug linuron_liver,adult,male,225.9µg/L linuron for 4 days,liver,GSM1383701
SRR1282298,4466022,893204400,100,500,SRX539710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604818,SAMN02768247,simple,8032,Salmo trutta,GSM1383702,GEO,SRA163246,05,2015,Uren,225.9 ug linuron_liver,HL2,225.9 ug linuron_liver,adult,male,225.9µg/L linuron for 4 days,liver,GSM1383702
SRR1282299,4172040,834408000,100,463,SRX539711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604819,SAMN02768242,simple,8032,Salmo trutta,GSM1383703,GEO,SRA163246,05,2015,Uren,225.9 ug linuron_liver,HL3,225.9 ug linuron_liver,adult,male,225.9µg/L linuron for 4 days,liver,GSM1383703
SRR1282300,4379946,875989200,100,493,SRX539712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604821,SAMN02768250,simple,8032,Salmo trutta,GSM1383704,GEO,SRA163246,05,2015,Uren,control_liver,C1 [adult male],control_liver,adult,male,water (control) for 4 days,liver,GSM1383704
SRR1282301,5326960,1065392000,100,593,SRX539713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604820,SAMN02768245,simple,8032,Salmo trutta,GSM1383705,GEO,SRA163246,05,2015,Uren,control_liver,C2 [adult male],control_liver,adult,male,water (control) for 4 days,liver,GSM1383705
SRR1282302,2368504,473700800,100,265,SRX539714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604822,SAMN02768244,simple,8032,Salmo trutta,GSM1383706,GEO,SRA163246,05,2015,Uren,control_liver,C3 [adult male],control_liver,adult,male,water (control) for 4 days,liver,GSM1383706
SRR1282303,3643487,728697400,100,405,SRX539715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604825,SAMN02768251,simple,8032,Salmo trutta,GSM1383707,GEO,SRA163246,05,2015,Uren,control_liver,C4 [adult male],control_liver,adult,male,water (control) for 4 days,liver,GSM1383707
SRR1282304,4651254,930250800,100,518,SRX539716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604823,SAMN02768249,simple,8032,Salmo trutta,GSM1383708,GEO,SRA163246,05,2015,Uren,control_liver,C5 [adult male],control_liver,adult,male,water (control) for 4 days,liver,GSM1383708
SRR1282305,4725763,945152600,100,524,SRX539717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041832,PRJNA246542,26082144,"",SRS604824,SAMN02768246,simple,8032,Salmo trutta,GSM1383709,GEO,SRA163246,05,2015,Uren,control_liver,C6 [adult male],control_liver,adult,male,water (control) for 4 days,liver,GSM1383709
