Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,temperature,molecule type,GEO Accession
SRR1822462,26913484,1345674200,50,713,SRX894024,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861460,SAMN03381347,simple,4932,Saccharomyces cerevisiae,GSM1622005,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type TIF1 replicate 2_30 deg,Whole cells,30 deg,Ribosome-protected RNA,GSM1622005
SRR1822463,39711552,1985577600,50,1041,SRX894025,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861459,SAMN03381325,simple,4932,Saccharomyces cerevisiae,GSM1622006,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_tif1-ts replicate 1_30 deg,Whole cells,30 deg,Ribosome-protected RNA,GSM1622006
SRR1822464,21606439,1080321950,50,561,SRX894026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861458,SAMN03381326,simple,4932,Saccharomyces cerevisiae,GSM1622007,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_tif1-ts replicate 2_30 deg,Whole cells,30 deg,Ribosome-protected RNA,GSM1622007
SRR1822465,12186047,609302350,50,348,SRX894027,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861457,SAMN03381340,simple,4932,Saccharomyces cerevisiae,GSM1622008,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type TIF1 replicate 1_30 deg,Whole cells,30 deg,mRNA,GSM1622008
SRR1822466,13602872,680143600,50,391,SRX894028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861456,SAMN03381354,simple,4932,Saccharomyces cerevisiae,GSM1622009,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type TIF1 replicate 2_30 deg,Whole cells,30 deg,mRNA,GSM1622009
SRR1822467,14529978,726498900,50,421,SRX894029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861455,SAMN03381332,simple,4932,Saccharomyces cerevisiae,GSM1622010,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_tif1-ts replicate 1_30 deg,Whole cells,30 deg,mRNA,GSM1622010
SRR1822468,6435551,321777550,50,185,SRX894030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861453,SAMN03381331,simple,4932,Saccharomyces cerevisiae,GSM1622011,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_tif1-ts replicate 2_30 deg,Whole cells,30 deg,mRNA,GSM1622011
SRR1822469,39445878,1972293900,50,1053,SRX894031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861454,SAMN03381344,simple,4932,Saccharomyces cerevisiae,GSM1622012,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type TIF1 replicate 1_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1622012
SRR1822470,45817932,2290896600,50,1270,SRX894032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861451,SAMN03381335,simple,4932,Saccharomyces cerevisiae,GSM1622013,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_wild-type TIF1 replicate 2_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1622013
SRR1822471,32672715,1633635750,50,867,SRX894033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861452,SAMN03381353,simple,4932,Saccharomyces cerevisiae,GSM1622014,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_tif1-ts replicate 1_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1622014
SRR1822472,35452182,1772609100,50,1022,SRX894034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861450,SAMN03381346,simple,4932,Saccharomyces cerevisiae,GSM1622015,GEO,SRA245097,03,2015,Sen,Whole cells,ribo_tif1-ts replicate 2_37 deg,Whole cells,37 deg,Ribosome-protected RNA,GSM1622015
SRR1822473,17161784,858089200,50,493,SRX894035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861449,SAMN03381345,simple,4932,Saccharomyces cerevisiae,GSM1622016,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type TIF1 replicate 1_37 deg,Whole cells,37 deg,mRNA,GSM1622016
SRR1822474,24325396,1216269800,50,726,SRX894036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861448,SAMN03381349,simple,4932,Saccharomyces cerevisiae,GSM1622017,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_wild-type TIF1 replicate 2_37 deg,Whole cells,37 deg,mRNA,GSM1622017
SRR1822475,10334810,516740500,50,299,SRX894037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861447,SAMN03381343,simple,4932,Saccharomyces cerevisiae,GSM1622018,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_tif1-ts replicate 1_37 deg,Whole cells,37 deg,mRNA,GSM1622018
SRR1822476,20622825,1031141250,50,617,SRX894038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055707,PRJNA276827,26122911,"",SRS861446,SAMN03381330,simple,4932,Saccharomyces cerevisiae,GSM1622019,GEO,SRA245097,03,2015,Sen,Whole cells,mRNA_tif1-ts replicate 2_37 deg,Whole cells,37 deg,mRNA,GSM1622019
