Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,Stage,strain,cell line,cell type,treatment,GEO Accession
SRR16299931,9545137,954513700,100,296,SRX12578691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534529,SAMN22227775,simple,10090,Mus musculus,GSM5622937,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-3,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622942
SRR16299932,14475560,1447556000,100,461,SRX12578691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534529,SAMN22227775,simple,10090,Mus musculus,GSM5622937,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-3,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622943
SRR16299933,13565527,1356552700,100,424,SRX12578692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534530,SAMN22227776,simple,10090,Mus musculus,GSM5622938,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-4,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622944
SRR16299934,21473752,2147375200,100,689,SRX12578692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534530,SAMN22227776,simple,10090,Mus musculus,GSM5622938,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,Ribo-ITP-8cell-4,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622945
SRR16299935,29253157,2925315700,60,854,SRX12578693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534531,SAMN22227777,simple,10090,Mus musculus,GSM5622939,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,RNA-Seq-GV-1,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622946
SRR16299936,27839311,2783931100,60,810,SRX12578694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534532,SAMN22227778,simple,10090,Mus musculus,GSM5622940,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,RNA-Seq-GV-2,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622947
SRR16299937,29284588,2928458800,60,856,SRX12578695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534533,SAMN22227779,simple,10090,Mus musculus,GSM5622941,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,RNA-Seq-GV-3,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622948
SRR16299938,28173362,2817336200,60,830,SRX12578696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534534,SAMN22227780,simple,10090,Mus musculus,GSM5622942,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,RNA-Seq-GV-4,K562,,,K562,,,GSM5622908
SRR16299939,30113979,3011397900,60,882,SRX12578697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534535,SAMN22227781,simple,10090,Mus musculus,GSM5622943,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,RNA-Seq-MII-1,K562,,,K562,,,GSM5622909
SRR16299940,31381582,3138158200,60,917,SRX12578698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534536,SAMN22227782,simple,10090,Mus musculus,GSM5622944,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,RNA-Seq-MII-2,K562,,,K562,,,GSM5622910
SRR16299941,32704253,3270425300,60,970,SRX12578699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534537,SAMN22227748,simple,10090,Mus musculus,GSM5622945,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,RNA-Seq-MII-3,K562,,,K562,,,GSM5622911
SRR16299942,34491752,3449175200,60,1019,SRX12578700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534538,SAMN22227750,simple,10090,Mus musculus,GSM5622946,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,RNA-Seq-MII-4,K562,,,K562,,,GSM5622912
SRR16299943,30351817,3035181700,60,893,SRX12578701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534539,SAMN22227751,simple,10090,Mus musculus,GSM5622947,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,RNA-Seq-1cell-1,K562,,,K562,,,GSM5622913
SRR16299944,29419106,2941910600,60,859,SRX12578702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534540,SAMN22227752,simple,10090,Mus musculus,GSM5622948,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,RNA-Seq-1cell-2,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622914
SRR16299883,17978689,916913139,51,430,SRX12578703,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534541,SAMN22227772,simple,9606,Homo sapiens,GSM5622908,GEO,SRA1309682,02,2023,Ozadam,K562,Conventional-Ribo-10Mcell-1,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622915
SRR16299884,19275785,983065035,51,469,SRX12578704,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534542,SAMN22227805,simple,9606,Homo sapiens,GSM5622909,GEO,SRA1309682,02,2023,Ozadam,K562,Conventional-Ribo-10Mcell-2,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622949
SRR16299885,19922835,1016064585,51,463,SRX12578705,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534543,SAMN22227806,simple,9606,Homo sapiens,GSM5622910,GEO,SRA1309682,02,2023,Ozadam,K562,Conventional-Ribo-10Mcell-3,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622950
SRR16299886,47582823,4758282300,100,1495,SRX12578706,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534544,SAMN22227807,simple,9606,Homo sapiens,GSM5622911,GEO,SRA1309682,02,2023,Ozadam,K562,Ribo-ITP-100cell-1,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622951
SRR16299887,19957956,1995795600,100,654,SRX12578706,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534544,SAMN22227807,simple,9606,Homo sapiens,GSM5622911,GEO,SRA1309682,02,2023,Ozadam,K562,Ribo-ITP-100cell-1,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622952
SRR16299888,13411988,1341198800,100,437,SRX12578707,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534545,SAMN22227808,simple,9606,Homo sapiens,GSM5622912,GEO,SRA1309682,02,2023,Ozadam,K562,Ribo-ITP-100cell-2,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622953
SRR16299889,57759394,5775939400,100,1892,SRX12578707,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534545,SAMN22227808,simple,9606,Homo sapiens,GSM5622912,GEO,SRA1309682,02,2023,Ozadam,K562,Ribo-ITP-100cell-2,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622954
SRR16299890,36748477,3674847700,100,1181,SRX12578708,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534546,SAMN22227783,simple,9606,Homo sapiens,GSM5622913,GEO,SRA1309682,02,2023,Ozadam,K562,Ribo-ITP-100cell-3,4-cell Embryo,4-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622955
SRR16299891,28695784,2869578400,100,934,SRX12578708,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534546,SAMN22227783,simple,9606,Homo sapiens,GSM5622913,GEO,SRA1309682,02,2023,Ozadam,K562,Ribo-ITP-100cell-3,4-cell Embryo,4-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622956
SRR16299892,17255218,1725521800,100,558,SRX12578709,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534547,SAMN22227784,simple,10090,Mus musculus,GSM5622914,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,Ribo-ITP-GV-1,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622916
SRR16299893,29023853,2902385300,100,939,SRX12578710,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534548,SAMN22227785,simple,10090,Mus musculus,GSM5622915,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,Ribo-ITP-GV-2,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622917
SRR16299945,35463433,3546343300,60,1054,SRX12578711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534549,SAMN22227753,simple,10090,Mus musculus,GSM5622949,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,RNA-Seq-1cell-3,GV-stage Oocyte,GV-stage Oocyte,C57BL/6J,,,,GSM5622918
SRR16299946,33432971,3343297100,60,984,SRX12578712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534550,SAMN22227755,simple,10090,Mus musculus,GSM5622950,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,RNA-Seq-1cell-4,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622919
SRR16299947,32812960,3281296000,60,959,SRX12578713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534551,SAMN22227756,simple,10090,Mus musculus,GSM5622951,GEO,SRA1309682,02,2023,Ozadam,2-cell Embryo,RNA-Seq-2cell-1,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622921
SRR16299948,35486640,3548664000,60,1036,SRX12578714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534552,SAMN22227757,simple,10090,Mus musculus,GSM5622952,GEO,SRA1309682,02,2023,Ozadam,2-cell Embryo,RNA-Seq-2cell-2,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622922
SRR16299949,35579970,3557997000,60,1044,SRX12578715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534553,SAMN22227758,simple,10090,Mus musculus,GSM5622953,GEO,SRA1309682,02,2023,Ozadam,2-cell Embryo,RNA-Seq-2cell-3,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622923
SRR16299950,26940013,2694001300,60,783,SRX12578716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534554,SAMN22227760,simple,10090,Mus musculus,GSM5622954,GEO,SRA1309682,02,2023,Ozadam,2-cell Embryo,RNA-Seq-2cell-4,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622924
SRR16299951,39656558,3965655800,60,1158,SRX12578717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534555,SAMN22227761,simple,10090,Mus musculus,GSM5622955,GEO,SRA1309682,02,2023,Ozadam,4-cell Embryo,RNA-Seq-4cell-1,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622957
SRR16299952,44042427,4404242700,60,1287,SRX12578718,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534556,SAMN22227762,simple,10090,Mus musculus,GSM5622956,GEO,SRA1309682,02,2023,Ozadam,4-cell Embryo,RNA-Seq-4cell-2,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622958
SRR16299894,31546023,3154602300,100,1005,SRX12578719,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534557,SAMN22227786,simple,10090,Mus musculus,GSM5622916,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,Ribo-ITP-GV-3,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622959
SRR16299895,29812772,2981277200,100,953,SRX12578720,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534558,SAMN22227787,simple,10090,Mus musculus,GSM5622917,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,Ribo-ITP-GV-4,8-cell Embryo,8-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622960
SRR16299896,17978166,1797816600,100,573,SRX12578721,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534559,SAMN22227788,simple,10090,Mus musculus,GSM5622918,GEO,SRA1309682,02,2023,Ozadam,GV-stage Oocyte,Ribo-ITP-GV-5,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622925
SRR16299897,5281344,528134400,100,176,SRX12578722,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534560,SAMN22227789,simple,10090,Mus musculus,GSM5622919,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-1,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622926
SRR16299898,24096779,2409677900,100,781,SRX12578722,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534560,SAMN22227789,simple,10090,Mus musculus,GSM5622919,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-1,1-cell Embryo,1-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622927
SRR16299901,4982415,498241500,100,165,SRX12578723,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534561,SAMN22227795,simple,10090,Mus musculus,GSM5622921,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-3,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622928
SRR16299902,23928972,2392897200,100,772,SRX12578723,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534561,SAMN22227795,simple,10090,Mus musculus,GSM5622921,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-3,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622929
SRR16299903,53190110,5319011000,100,1716,SRX12578724,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534562,SAMN22227796,simple,10090,Mus musculus,GSM5622922,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-4,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622930
SRR16299904,33476569,3347656900,100,1060,SRX12578725,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534563,SAMN22227797,simple,10090,Mus musculus,GSM5622923,GEO,SRA1309682,02,2023,Ozadam,MII-stage Oocyte,Ribo-ITP-MII-5,2-cell Embryo,2-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622931
SRR16299905,16534730,1653473000,100,516,SRX12578726,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534564,SAMN22227794,simple,10090,Mus musculus,GSM5622924,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,Ribo-ITP-1cell-1,4-cell Embryo,4-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622932
SRR16299906,20550329,2055032900,100,660,SRX12578726,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534564,SAMN22227794,simple,10090,Mus musculus,GSM5622924,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,Ribo-ITP-1cell-1,K562,,,K562,Chronic myelogenous leukemia,0.33 units RNaseI,GSM7182540
SRR16299953,31194514,3119451400,60,924,SRX12578727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534565,SAMN22227763,simple,10090,Mus musculus,GSM5622957,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,RNA-Seq-8cell-1,K562,,,K562,Chronic myelogenous leukemia,0.33 units RNaseI,GSM7182541
SRR16299954,38990956,3899095600,60,1194,SRX12578728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534566,SAMN22227765,simple,10090,Mus musculus,GSM5622958,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,RNA-Seq-8cell-2,K562,,,K562,Chronic myelogenous leukemia,0.33 units RNaseI,GSM7182542
SRR16299955,38141038,3814103800,60,1127,SRX12578729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534567,SAMN22227766,simple,10090,Mus musculus,GSM5622959,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,RNA-Seq-8cell-3,K562,,,K562,Chronic myelogenous leukemia,13.33 gel-units Mnase,GSM7182543
SRR16299956,38552987,3855298700,60,1124,SRX12578730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534568,SAMN22227767,simple,10090,Mus musculus,GSM5622960,GEO,SRA1309682,02,2023,Ozadam,8-cell Embryo,RNA-Seq-8cell-4,K562,,,K562,Chronic myelogenous leukemia,13.33 gel-units Mnase,GSM7182544
SRR16299907,26357386,2635738600,100,816,SRX12578731,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534569,SAMN22227791,simple,10090,Mus musculus,GSM5622925,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,Ribo-ITP-1cell-2,MII-stage Oocyte,MII-stage Oocyte,C57BL/6J,,,,GSM5622920
SRR16299908,34111651,3411165100,100,1085,SRX12578731,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP341033,PRJNA770650,37344592,"",SRS10534569,SAMN22227791,simple,10090,Mus musculus,GSM5622925,GEO,SRA1309682,02,2023,Ozadam,1-cell Embryo,Ribo-ITP-1cell-2,4-cell Embryo,4-cell Embryo,C57BL/6J x CAST/EiJ,,,,GSM5622933
