Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,depolarised,molecule subtype,GEO Accession
SRR12391524,98887477,7515448252,76,2668,SRX8889959,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149438,SAMN15734798,simple,9606,Homo sapiens,GSM4711307,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 4,depol 0 hours 4 [k0h4.ribo],depol 0 hours 4,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711307
SRR12416686,27339675,2077815300,76,700,SRX8889960,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149439,SAMN15734797,simple,9606,Homo sapiens,GSM4711308,GEO,SRA1108561,09,2020,Kiltschewskij,depol 0 hours 4,depol 0 hours 4 [k0h4.small.rna],depol 0 hours 4,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711308
SRR12391526,36195753,5088036896,140,2206,SRX8889961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149440,SAMN15734837,simple,9606,Homo sapiens,GSM4711309,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 1,depol 2 hours 1 [k2h1.mrna],depol 2 hours 1,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711309
SRR12391527,124222030,9440874280,76,3587,SRX8889962,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149441,SAMN15734796,simple,9606,Homo sapiens,GSM4711310,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 1,depol 2 hours 1 [k2h1.ribo],depol 2 hours 1,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711310
SRR12391528,29666297,2254638572,76,799,SRX8889963,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149442,SAMN15734795,simple,9606,Homo sapiens,GSM4711311,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 1,depol 2 hours 1 [k2h1.small.rna],depol 2 hours 1,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711311
SRR12391529,37281689,5337656148,143,2329,SRX8889964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149443,SAMN15734842,simple,9606,Homo sapiens,GSM4711312,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 2,depol 2 hours 2 [k2h2.mrna],depol 2 hours 2,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711312
SRR12391530,35222163,2676884388,76,1013,SRX8889965,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149444,SAMN15734841,simple,9606,Homo sapiens,GSM4711313,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 2,depol 2 hours 2 [k2h2.ribo],depol 2 hours 2,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711313
SRR12391531,40587717,3084666492,76,1062,SRX8889966,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149445,SAMN15734840,simple,9606,Homo sapiens,GSM4711314,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 2,depol 2 hours 2 [k2h2.small.rna],depol 2 hours 2,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711314
SRR12391532,40903187,5807144808,141,2534,SRX8889967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149446,SAMN15734839,simple,9606,Homo sapiens,GSM4711315,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 3,depol 2 hours 3 [k2h3.mrna],depol 2 hours 3,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711315
SRR12391533,22663923,1722458148,76,670,SRX8889968,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149447,SAMN15734838,simple,9606,Homo sapiens,GSM4711316,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 3,depol 2 hours 3 [k2h3.ribo],depol 2 hours 3,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711316
SRR12391534,15112661,1148562236,76,406,SRX8889969,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149448,SAMN15734836,simple,9606,Homo sapiens,GSM4711317,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 3,depol 2 hours 3 [k2h3.small.rna],depol 2 hours 3,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711317
SRR12391535,37901662,5347683562,141,2322,SRX8889970,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149449,SAMN15734835,simple,9606,Homo sapiens,GSM4711318,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 4,depol 2 hours 4 [k2h4.mrna],depol 2 hours 4,Neuronally differentiated SH-SY5Y,7,Yes,Poly(A) mRNA,GSM4711318
SRR12391536,58921249,4478014924,76,1682,SRX8889971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149450,SAMN15734834,simple,9606,Homo sapiens,GSM4711319,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 4,depol 2 hours 4 [k2h4.ribo],depol 2 hours 4,Neuronally differentiated SH-SY5Y,7,Yes,ribosome-protected mRNA,GSM4711319
SRR12391537,17600127,1337609652,76,462,SRX8889972,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP276055,PRJNA655417,32992958,"",SRS7149451,SAMN15734833,simple,9606,Homo sapiens,GSM4711320,GEO,SRA1108561,09,2020,Kiltschewskij,depol 2 hours 4,depol 2 hours 4 [k2h4.small.rna],depol 2 hours 4,Neuronally differentiated SH-SY5Y,7,Yes,small RNA,GSM4711320
