Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,stress,fraction,GEO Accession
SRR12594211,25589142,1305046242,51,485,SRX9078271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325275,SAMN16063130,simple,10090,Mus musculus,GSM4769294,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 500 mOSM 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),500 mOSM 2h,Ribosome associated RNA,GSM4769294
SRR12594212,24104532,1229331132,51,458,SRX9078272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325276,SAMN16063129,simple,10090,Mus musculus,GSM4769295,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 600 mOSM 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),600 mOSM 2h,Ribosome associated RNA,GSM4769295
SRR12594213,35135296,1791900096,51,664,SRX9078273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325277,SAMN16063128,simple,10090,Mus musculus,GSM4769296,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 15min, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min,Ribosome associated RNA,GSM4769296
SRR12594214,32626695,1663961445,51,622,SRX9078274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325278,SAMN16063127,simple,10090,Mus musculus,GSM4769297,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h,Ribosome associated RNA,GSM4769297
SRR12594215,22535717,1149321567,51,430,SRX9078275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325279,SAMN16063126,simple,10090,Mus musculus,GSM4769298,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 15min Recovery 15min, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 15min,Ribosome associated RNA,GSM4769298
SRR12594216,30718428,1566639828,51,581,SRX9078276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325280,SAMN16063104,simple,10090,Mus musculus,GSM4769299,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 15min Recovery 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 2h,Ribosome associated RNA,GSM4769299
SRR12594217,29473095,1503127845,51,561,SRX9078277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325281,SAMN16063103,simple,10090,Mus musculus,GSM4769300,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 2h Recovery 15min, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 15min,Ribosome associated RNA,GSM4769300
SRR12594218,27185627,1386466977,51,518,SRX9078278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325282,SAMN16063102,simple,10090,Mus musculus,GSM4769301,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"Ribo-seq 700 mOSM 2h Recovery 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 2h,Ribosome associated RNA,GSM4769301
SRR12594219,69735366,20920609800,150,7264,SRX9078279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325283,SAMN16063101,simple,10090,Mus musculus,GSM4769302,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq Normal Condition, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),Normal Condition,Cytoplasmic RNA,GSM4769302
SRR12594220,28099473,8429841900,150,2939,SRX9078280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325284,SAMN16063100,simple,10090,Mus musculus,GSM4769303,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 500 mOSM 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),500 mOSM 2h,Cytoplasmic RNA,GSM4769303
SRR12594221,36900234,11070070200,150,3860,SRX9078281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325285,SAMN16063099,simple,10090,Mus musculus,GSM4769304,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 600 mOSM 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),600 mOSM 2h,Cytoplasmic RNA,GSM4769304
SRR12594222,39097352,11729205600,150,4127,SRX9078282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325286,SAMN16063098,simple,10090,Mus musculus,GSM4769305,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 15min, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min,Cytoplasmic RNA,GSM4769305
SRR12594223,37571997,11271599100,150,3887,SRX9078283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325287,SAMN16063097,simple,10090,Mus musculus,GSM4769306,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h,Cytoplasmic RNA,GSM4769306
SRR12594224,38571114,11571334200,150,4138,SRX9078284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325288,SAMN16063096,simple,10090,Mus musculus,GSM4769307,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 15min Recovery 15min, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 15min,Cytoplasmic RNA,GSM4769307
SRR12594225,45732825,13719847500,150,4829,SRX9078285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325289,SAMN16063095,simple,10090,Mus musculus,GSM4769308,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 15min Recovery 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 2h,Cytoplasmic RNA,GSM4769308
SRR12594226,38559583,11567874900,150,4033,SRX9078286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325290,SAMN16063125,simple,10090,Mus musculus,GSM4769309,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 2h Recovery 15min, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 15min,Cytoplasmic RNA,GSM4769309
SRR12594227,43609697,13082909100,150,4666,SRX9078287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325291,SAMN16063124,simple,10090,Mus musculus,GSM4769310,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 2h Recovery 2h, Replicate 1",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 2h,Cytoplasmic RNA,GSM4769310
SRR12594228,57040287,17112086100,150,6090,SRX9078288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325292,SAMN16063123,simple,10090,Mus musculus,GSM4769311,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq Normal Condition, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),Normal Condition,Cytoplasmic RNA,GSM4769311
SRR12594229,37532802,11259840600,150,3949,SRX9078289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325293,SAMN16063122,simple,10090,Mus musculus,GSM4769312,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 500 mOSM 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),500 mOSM 2h,Cytoplasmic RNA,GSM4769312
SRR12594230,48533653,14560095900,150,5051,SRX9078290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325294,SAMN16063121,simple,10090,Mus musculus,GSM4769313,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 600 mOSM 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),600 mOSM 2h,Cytoplasmic RNA,GSM4769313
SRR12594231,46558447,13967534100,150,4923,SRX9078291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325295,SAMN16063120,simple,10090,Mus musculus,GSM4769314,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 15min, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min,Cytoplasmic RNA,GSM4769314
SRR12594232,38450366,11535109800,150,4070,SRX9078292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325296,SAMN16063119,simple,10090,Mus musculus,GSM4769315,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h,Cytoplasmic RNA,GSM4769315
SRR12594233,43655108,13096532400,150,4565,SRX9078293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325297,SAMN16063118,simple,10090,Mus musculus,GSM4769316,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 15min Recovery 15min, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 15min,Cytoplasmic RNA,GSM4769316
SRR12594234,40083079,12024923700,150,4213,SRX9078294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325298,SAMN16063117,simple,10090,Mus musculus,GSM4769317,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 15min Recovery 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 15min Recovery 2h,Cytoplasmic RNA,GSM4769317
SRR12594235,38108927,11432678100,150,4120,SRX9078295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325299,SAMN16063116,simple,10090,Mus musculus,GSM4769318,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 2h Recovery 15min, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 15min,Cytoplasmic RNA,GSM4769318
SRR12594236,46721274,14016382200,150,4974,SRX9078296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP280144,PRJNA661558,34686314,"",SRS7325300,SAMN16063115,simple,10090,Mus musculus,GSM4769319,GEO,SRA1121488,09,2021,Jobava,Mouse embryonic fibroblasts cells,"RNA-seq 700 mOSM 2h Recovery 2h, Replicate 2",Mouse embryonic fibroblasts cells,C57BL/6J,MEFs (mouse embryonic fibroblasts),700 mOSM 2h Recovery 2h,Cytoplasmic RNA,GSM4769319
