Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Stage,tissue origin,GEO Accession
SRR1013479,66444289,6710873189,101,4370,SRX365491,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491870,SAMN02378248,simple,10090,Mus musculus,GSM1245221,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor RiboTag Profiling B,tumor,PDGF/Cre tumor,end-stage,,GSM1245221
SRR1013480,69833324,7053165724,101,4556,SRX365492,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491871,SAMN02378250,simple,10090,Mus musculus,GSM1245222,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor RiboTag Profiling C,tumor,PDGF/Cre tumor,end-stage,,GSM1245222
SRR1013481,23028669,2325895569,101,1427,SRX365493,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491872,SAMN02378255,simple,10090,Mus musculus,GSM1245223,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor Homogenate Profiling A,tumor,PDGF/Cre tumor,end-stage,,GSM1245223
SRR1013482,116383553,11754738853,101,7590,SRX365494,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491873,SAMN02378259,simple,10090,Mus musculus,GSM1245224,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor Homogenate Profiling B,tumor,PDGF/Cre tumor,end-stage,,GSM1245224
SRR1013483,44840963,4528937263,,2854,SRX365495,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS491874,SAMN02378258,simple,10090,Mus musculus,GSM1245225,GEO,SRA107313,08,2014,Gonzalez,tumor,Tumor Homogenate Profiling C,tumor,PDGF/Cre tumor,end-stage,,GSM1245225
SRR1562539,56481495,5704630995,101,3403,SRX690806,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693279,SAMN03015185,simple,9606,Homo sapiens,GSM1495244,GEO,SRA107313,09,2014,Gonzalez,normal brain,NormalHumanRiboProfilingA,normal brain,,,normal brain,GSM1495244
SRR1562540,78005408,7878546208,101,4708,SRX690807,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693280,SAMN03015186,simple,9606,Homo sapiens,GSM1495245,GEO,SRA107313,09,2014,Gonzalez,normal brain,NormalHumanRiboProfilingB,normal brain,,,normal brain,GSM1495245
SRR1562541,53474607,5400935307,101,3258,SRX690808,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693282,SAMN03015187,simple,9606,Homo sapiens,GSM1495246,GEO,SRA107313,09,2014,Gonzalez,normal brain,NormalHumanRiboProfilingC,normal brain,,,normal brain,GSM1495246
SRR1562542,35287687,3564056387,101,2136,SRX690809,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693284,SAMN03015188,simple,9606,Homo sapiens,GSM1495247,GEO,SRA107313,09,2014,Gonzalez,Tumor resection,TumorHumanRiboProfilingA,Tumor resection,,,Tumor,GSM1495247
SRR1562543,45383508,4583734308,101,2705,SRX690810,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693283,SAMN03015189,simple,9606,Homo sapiens,GSM1495248,GEO,SRA107313,09,2014,Gonzalez,Tumor resection,TumorHumanRiboProfilingB,Tumor resection,,,Tumor,GSM1495248
SRR1562544,25828278,2608656078,101,1770,SRX690811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693285,SAMN03015190,simple,9606,Homo sapiens,GSM1495249,GEO,SRA107313,09,2014,Gonzalez,normal brain,NormalHumanRNA-SeqA,normal brain,,,normal brain,GSM1495249
SRR1562545,27838127,2811650827,101,1925,SRX690812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693286,SAMN03015191,simple,9606,Homo sapiens,GSM1495250,GEO,SRA107313,09,2014,Gonzalez,normal brain,NormalHumanRNA-SeqB,normal brain,,,normal brain,GSM1495250
SRR1562546,38549553,3893504853,101,2653,SRX690813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693287,SAMN03015192,simple,9606,Homo sapiens,GSM1495251,GEO,SRA107313,09,2014,Gonzalez,normal brain,NormalHumanRNA-SeqC,normal brain,,,normal brain,GSM1495251
SRR1562547,36656629,3702319529,101,2506,SRX690814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693288,SAMN03015193,simple,9606,Homo sapiens,GSM1495252,GEO,SRA107313,09,2014,Gonzalez,Tumor resection,TumorHumanRNA-SeqA,Tumor resection,,,Tumor,GSM1495252
SRR1562548,33213436,3354557036,101,2283,SRX690815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP031501,PRJNA223060,25122893,"",SRS693289,SAMN03015194,simple,9606,Homo sapiens,GSM1495253,GEO,SRA107313,09,2014,Gonzalez,Tumor resection,TumorHumanRNA-SeqB,Tumor resection,,,Tumor,GSM1495253
