Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,condition,time point,GEO Accession
SRR5331674,20672487,2082162156,50,1367,SRX2630501,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040119,SAMN06556224,simple,10090,Mus musculus,GSM2527995,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,WT_Th1_3d_3,CD4+ T-cells,C57BL/6J,WT,Th1,3 days,GSM2527995
SRR5331675,59216258,5964644060,50,4067,SRX2630502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040120,SAMN06556223,simple,10090,Mus musculus,GSM2527996,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_3d_1,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,3 days,GSM2527996
SRR5331676,59367734,5981717048,50,3987,SRX2630503,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040121,SAMN06556222,simple,10090,Mus musculus,GSM2527997,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_3d_2,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,3 days,GSM2527997
SRR5331677,32655248,3293256100,50,2168,SRX2630504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS2040122,SAMN06556221,simple,10090,Mus musculus,GSM2527998,GEO,SRA544091,03,2018,Moore,CD4+ T-cells,ZFP36_KO_Th1_3d_3,CD4+ T-cells,C57BL/6J,Zfp36 KO,Th1,3 days,GSM2527998
SRR6881551,31837011,3183701100,50,2233,SRX3833957,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS3081564,SAMN08774716,simple,10090,Mus musculus,GSM3061436,GEO,SRA544091,01,2019,Moore,CD4+ T-cells,naïve_WT_1,CD4+ T-cells,C57BL/6J,WT,naïve,0 hours,GSM3061436
SRR6881552,10983070,1142239280,52,760,SRX3833957,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS3081564,SAMN08774716,simple,10090,Mus musculus,GSM3061436,GEO,SRA544091,01,2019,Moore,CD4+ T-cells,naïve_WT_1,CD4+ T-cells,C57BL/6J,WT,naïve,0 hours,GSM3061437
SRR6881553,43745230,4374523000,50,3077,SRX3833958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS3081565,SAMN08774715,simple,10090,Mus musculus,GSM3061437,GEO,SRA544091,01,2019,Moore,CD4+ T-cells,naïve_WT_2,CD4+ T-cells,C57BL/6J,WT,naïve,0 hours,GSM3061438
SRR6881554,10449217,1086718568,52,731,SRX3833958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS3081565,SAMN08774715,simple,10090,Mus musculus,GSM3061437,GEO,SRA544091,01,2019,Moore,CD4+ T-cells,naïve_WT_2,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527985
SRR6881555,35574085,3557408500,50,2473,SRX3833959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS3081567,SAMN08774714,simple,10090,Mus musculus,GSM3061438,GEO,SRA544091,01,2019,Moore,CD4+ T-cells,naïve_WT_3,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527986
SRR6881556,8969709,932849736,52,619,SRX3833959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP101662,PRJNA378664,29848443,"",SRS3081567,SAMN08774714,simple,10090,Mus musculus,GSM3061438,GEO,SRA544091,01,2019,Moore,CD4+ T-cells,naïve_WT_3,CD4+ T-cells,C57BL/6J,WT,Th1,4 hours,GSM2527987
