id,title,abstract
PRJNA990964,Transcriptome and translatome comparison of tissues from Arabidopsis thaliana,"Translation is one of the multiple complementary steps that orchestrates gene activity. In contrast to the straightforwardness of transcriptional surveys, genome-wide profiles of the translational landscape of plant cells remain technically challenging and are less well explored. Protein-coding genes are expressed at a variable degree of efficiency, resulting in pronounced discordance among the regulatory levels that govern gene activity. Ribo-Seq provides an extremely useful tool for estimating translation efficiency, but limited data sets are available for plants. Here, we provide comparative inventories of expressed and translated RNA populations, generated by mRNA sequencing (RNA-Seq) and ribosome footprinting (Ribo-Seq) of shoots and roots of Arabidopsis thaliana seedlings. Our data set provides information on the translational fitness of protein-coding mRNAs and lncRNAs that may aid in obtaining a comprehensive picture of the regulatory levels governing genes activity across the genome."
PRJEB54638,Ribosome profiling of the genome-reduced bacterium Mycoplasma pneumoniae,"In order to study quantitatively the translation efficiency in the genome-reduced bacterium Mycoplasma pneumoniae, we performed ribosome profiling (ribo-seq) in standard growth conditions. We first tested whether the ribosome profiling method could be applied to M. pneumoniae and assessed the quality of the obtained data. Mpn present some characteristics that differ from other model bacterial species where ribosome profiling has been established, like the absence of a cell wall, different lipid composition and low number of ribosomes (200-300 per cell compared with ~55,000 in E. coli). Thus, several aspects of the original method (Ingolia et al., 2009) had to be adapted. As a reference, we also performed ribosome profiling in E. coli. We also calibrated the ribosome P-site shift from the 3' end of ribosome protected footprints (RPFs) by analyzing the metagene profile of a sample treated with tetracycline."
PRJNA985729,Essential roles of RNA cap-proximal ribose methylation in mammalian embryonic development and fertility,"Eukaryotic RNA pol II transcripts are capped at the 5' end by the methylated guanosine (m7G) moiety. In higher eukaryotes, CMTR1 and CMTR2 catalyse cap-proximal ribose methylations on the first (cap1) and second (cap2) nucleotides, respectively. These modifications mark RNAs as 'self', blocking the activation of the innate immune response pathway. Here we show that loss of mouse Cmtr1 or Cmtr2 leads to embryonic lethality, with non-overlapping sets of transcripts being regulated, without activation of the interferon pathway. In contrast, Cmtr1 mutant adult mouse livers exhibit a chronic activation of the interferon pathway, with multiple interferon-stimulated genes (ISGs) being expressed. Conditional deletion of Cmtr1 in the male germline leads to infertility, while global translation is unaffected in the Cmtr1 mutant mouse liver and human cells. Thus, mammalian cap1 and cap2 modifications have an essential role in embryonic gene regulation that is independent of their established role in evading the innate immune system. Overall design: RNA sequencing was applied to study the gene expression differences between Cmtr1+/+ and Cmtr1-/- mouse embryos (E6.5 and E7.5), Cmtr1+/loxP; AlbCreERT2+/- (control) and Cmtr1-/loxP; AlbCreERT2+/- (Cmtr1 cKO) mouse livers, CMTR1+/+ and CMTR1-/- HAP1 cells, Cmtr2+/+ and Cmtr2-/- mouse embryos (E6.5 and E7.5). Ribosome profiling was used to assess translation efficiency differences between Cmtr1+/loxP; AlbCreERT2+/- (control) and Cmtr1-/loxP; AlbCreERT2+/- (Cmtr1 cKO) mouse livers, CMTR1+/+ and CMTR1-/- HAP1 cells."
PRJNA982760,A snoRNA–tRNA modification network governs codon-biased cellular states [RNAseq & Riboseq],"The dynamic balance between tRNA supply and codon usage demand is a fundamental principle in the cellular translation economy. However, the regulation and functional consequences of this balance remain unclear. Here, we use PARIS2 interactome capture, structure modeling, conservation analysis, RNA–protein interaction analysis, and modification mapping to reveal the targets of hundreds of snoRNAs, many of which were previously considered orphans. We identify a snoRNA–tRNA interaction network that is required for global tRNA modifications, including 2'-O-methylation and others. Loss of Fibrillarin, the snoRNA-guided 2'-O-methyltransferase, induces global upregulation of tRNA fragments, a large group of regulatory RNAs. In particular, the snoRNAs D97/D133 guide the 2'-O-methylation of multiple tRNAs, especially for the amino acid methionine (Met), a protein-intrinsic antioxidant. Loss of D97/D133 snoRNAs in human HEK293 cells reduced target tRNA levels and induced codon adaptation of the transcriptome and translatome. Both D97/D133 single and double knockouts in HEK293 cells suppress Met-enriched proliferation-related gene expression programs, including, translation, splicing, and mitochondrial energy metabolism, and promote Met-depleted programs related to development, differentiation, and morphogenesis. In a mouse embryonic stem cell model of development, knockdown and knockout of D97/D133 promote differentiation to mesoderm and endoderm fates, such as cardiomyocytes, without compromising pluripotency, consistent with the enhanced development-related gene expression programs in human cells. This work solves a decade-old mystery about orphan snoRNAs and reveals a function of snoRNAs in controlling the codon-biased dichotomous cellular states of proliferation and development. Overall design: To investigate the novel functions of snoRNAs that guide 2'-O-methylation (Nm) modifications on tRNAs, we established SNORD97, SNORD133 single and double knock out HEK293 and mESCs using CRISPR/Cas9 technology, we also generated FBL and DKC1 knock down HEK293 cells by siRNAs. Total RNA sequencing was performed to analyze comparative gene expression profiles. Small RNA sequencing was performed to analyze the tRNA fragmentation after loss of the snoRNA-guided 2'-O-methylation modifications on tRNA. Ribosome profiling sequencing (ribo-seq) was performed to analyze the cause of reduced translation after CRISPR knockout of the D97/D133 family of snoRNAs,"
PRJNA982716,Ribosome profiling of GC7-treated BJ-Ras-ER cells,Proliferating and Senescent BJ-Ras-ER cells were treated with either DMSO or GC7. Ribosome profiling was performed on these samples.
PRJNA979342,input RNA-seq of paip1-larva riboseq,input RNA-seq data of Paip1 mutant larva Ribo-seq
PRJNA978024,RNA N6-methyladenosine methyltransferase METTL3 drives NAFLD-HCC and is a therapeutic target for boosting immunotherapy [m6A-seq],"Non-alcoholic fatty liver disease (NAFLD) is an emerging risk factor of hepatocellular carcinoma (HCC). However, the mechanism and target therapy on NAFLD-HCC are still unclear. Here, we identify that the N6-methyladenosine (m6A) methyltransferase METTL3 promotes NAFLD-HCC. Hepatocyte-specific Mettl3 knockin exacerbated NAFLD-HCC formation while Mettl3 knockout exerted an opposite effect in mice. Single-cell RNA-seq revealed that METTL3 suppressed antitumor immune response by reducing infiltration of Gzmb+ and IFN-?+ CD8+ T-cell, thereby facilitating immune escape. Mechanistically, METTL3 mediates SCAP mRNA m6A to promote its translation, leading to the activation of cholesterol biosynthesis. This enhanced secretion of cholesterol and cholesteryl esters, lipotoxins that impaired CD8+ T cell function in tumor microenvironment. Targeting of METTL3 by sgRNA, nanoparticle-siRNA, or pharmacological inhibitor (STM2457) in combination with anti-PD1 synergized to reinvigorate cytotoxic CD8+ T cells and mediate tumor regression. Together, METTL3 is a therapeutic target in NAFLD-HCC, especially in conjunction with immune checkpoint blockade (ICB) therapy. Overall design: To investigate the function of METTL3 in NAFLD-HCC, we established shMETTL3 in HKCI2 cell line, then performed RNA-seq, m6A-seq and ribo-seq"
PRJNA978023,RNA N6-methyladenosine methyltransferase METTL3 drives NAFLD-HCC and is a therapeutic target for boosting immunotherapy [RNA-Seq],"Non-alcoholic fatty liver disease (NAFLD) is an emerging risk factor of hepatocellular carcinoma (HCC). However, the mechanism and target therapy on NAFLD-HCC are still unclear. Here, we identify that the N6-methyladenosine (m6A) methyltransferase METTL3 promotes NAFLD-HCC. Hepatocyte-specific Mettl3 knockin exacerbated NAFLD-HCC formation while Mettl3 knockout exerted an opposite effect in mice. Single-cell RNA-seq revealed that METTL3 suppressed antitumor immune response by reducing infiltration of Gzmb+ and IFN-?+ CD8+ T-cell, thereby facilitating immune escape. Mechanistically, METTL3 mediates SCAP mRNA m6A to promote its translation, leading to the activation of cholesterol biosynthesis. This enhanced secretion of cholesterol and cholesteryl esters, lipotoxins that impaired CD8+ T cell function in tumor microenvironment. Targeting of METTL3 by sgRNA, nanoparticle-siRNA, or pharmacological inhibitor (STM2457) in combination with anti-PD1 synergized to reinvigorate cytotoxic CD8+ T cells and mediate tumor regression. Together, METTL3 is a therapeutic target in NAFLD-HCC, especially in conjunction with immune checkpoint blockade (ICB) therapy. Overall design: To investigate the function of METTL3 in NAFLD-HCC, we established shMETTL3 in HKCI2 cell line, then performed RNA-seq, m6A-seq and ribo-seq"
PRJDB12336,Ribosome profiling analyses on WT and RRFTs strain,"In the early stage of translation elongation, peptidyl-tRNA (pep-tRNA) with short nascent chain frequently dissociates from the ribosome (pep-tRNA drop-off). Inactivation of PTH (peptidyl-tRNA hydrolase) causes rapid accumulation of pep-tRNAs and depletion of aminoacyl(aa)-tRNAs, leading to defective protein synthesis. We established a highly sensitive method for direct profiling of pep-tRNAs accumulated in the cell and identified more than 700 peptide sequences of the pep-tRNAs. In this experiment, to examine the involvement of RRF in pep-tRNA drop-off in the early elongation stage, we performed ribosome profiling of WT and temperature-sensitive RRF strain incubated at 43Â°C for 30 min."
PRJDB12332,RNA-seq analysis on the PTH deficient cells,"In the early stage of translation elongation, peptidyl-tRNA (pep-tRNA) with short nascent chain frequently dissociates from the ribosome (pep-tRNA drop-off). Inactivation of PTH (peptidyl-tRNA hydrolase) causes rapid accumulation of pep-tRNAs and depletion of aminoacyl(aa)-tRNAs, leading to defective protein synthesis. We established a highly sensitive method for direct profiling of pep-tRNAs accumulated in the cell and identified more than 700 peptide sequences of the pep-tRNAs. To characterize codon preference at the drop-off sites for the pep-tRNAs, we carried out RNA-seq on the PTH deficient cells to obtain the transcriptome profile."
PRJEB51486,Decoding bacterial virulence with high-definition ribosome profiling,"Decades of research have provided significant insight into the physiology, metabolism and virulence of the model intracellular pathogen Salmonella enterica serovar Typhimurium (S. Typhimurium).  The use of global RNA quantification studies has provided important information on the transcript behaviour of bacterial pathogens. However, despite transcription and translation being closely linked in prokaryotes, transcriptional levels are often not well correlated with protein abundances. Ribosome profiling (RiboSeq), which involves the deep-sequencing of ribosome protected fragments, is a powerful method to monitor in vivo global translation.  Here, we performed high definition ribosome profiling of S. Typhimurium. We introduced methodological modifications to further decrease rRNA contamination and, importantly obtained clear triplet phasing in read mapping positions, reflecting the triplet periodicity of decoding. We showed that a substantial proportion of S. Typhimurium protein synthesis is dedicated to virulence factor expression, and translational control plays a fundamental role in ensuring appropriate components are expressed at the correct stoichiometric ratios. We found that translational efficiency is mainly determined at the level of initiation by the strength of the Shine-Dalgano sequence's interaction with 16S rRNA and its distance to the initiation codon, the presence of an adenosine 3 nt upstream of the initiation codon, and a lack of RNA structure around the initiation site. Our study identified the underlying importance of translational regulation in bacterial gene expression and virulence."
PRJNA967742,Circadian ribosome profiling reveals a role for the Period2 upstream opening reading frame in sleep.,"Many mammalian proteins have circadian cycles of production and degradation, and many of these rhythms are altered post-transcriptionally. We used ribosome profiling to examine post-transcriptional control of circadian rhythms by quantifying RNA translation in the liver over a 24-h period from circadian-entrained mice transferred to constant darkness conditions and by comparing ribosome binding levels to protein levels for 16 circadian proteins. We observed large differences in ribosome binding levels compared to protein levels, and we observed delays between peak ribosome binding and peak protein abundance. We found extensive binding of ribosomes to upstream open reading frames (uORFs) in circadian mRNAs, including the core clock gene Period2 (Per2). An increase in the number of uORFs in the 5'UTR was associated with a decrease in ribosome binding in the main coding sequence and a reduction in expression of synthetic reporter constructs. Mutation of the Per2 uORF increased luciferase and fluorescence reporter expression in 3T3 cells without altering the phase or period and increased luciferase expression in PER2:LUC MEF cells. Mutation of the Per2 uORF in mice increased PER2 protein levels and reduced total sleep time compared to that in wild-type mice. These results suggest that post-transcriptional processes shape translation of mRNA transcripts, which can impact physiological rhythms and sleep. Overall design: Ribosome profiling and RNA sequencing of three C57BL/6N mouse livers from wild-type and Per2uORF mutant mice"
PRJNA967640,Dysregulation of amino acid metabolism upon rapid depletion of cap-binding protein eIF4E [RNA-Seq],"Protein synthesis is metabolically costly, and the level of translation must match nutrient availability and cellular needs. Overall protein synthesis levels are modulated by regulating translation initiation. The cap-binding protein eIF4E—the earliest contact between mRNAs and the translation machinery—serves as one point of control, but its contributions to mRNA-specific translation regulation remain poorly understood. We acutely depleted eIF4E, which is essential in budding yeast, and observed surprisingly modest effects on cell growth and protein synthesis. Long-lived transcripts were downregulated, likely reflecting accelerated turnover, and the strongest gene-specific effects arose as secondary effects of reduced protein biosynthesis on amino acid pools. Futile cycles of amino acid synthesis and degradation were accompanied by translational activation of GCN4, which is typically induced by amino acid starvation. We further identified translational tuning of PCL5, a negative regulator of Gcn4, that provides a consistent protein-to-mRNA ratio under varying translation environments. This translational control depended in part on a uniquely long poly-(A) tract in the PCL5 5' UTR and on poly-(A) binding protein. These results highlight the intricate interplay between translation, amino acid homeostasis, and gene regulation and uncover new layers of feedback control in cellular response to stress and nutrient availability. Overall design: To determine the impact of reduced eIF4E levels on ribosome occupancy transcriptome-wide, we established a eIF4E-AID (auxin inducible degron) yeast strain. We then depleted eIF4E by adding IAA for either 1 or 8 hours. We determined changes in translation and RNA abundance by ribosome profiling and RNA-seq, respectively. A DMSO treated sample was used as a control and both conditions (IAA and DMSO) were performed in duplicate."
PRJNA967638,Dysregulation of amino acid metabolism upon rapid depletion of cap-binding protein eIF4E [pcl5_screen],"Protein synthesis is metabolically costly, and the level of translation must match nutrient availability and cellular needs. Overall protein synthesis levels are modulated by regulating translation initiation. The cap-binding protein eIF4E—the earliest contact between mRNAs and the translation machinery—serves as one point of control, but its contributions to mRNA-specific translation regulation remain poorly understood. We acutely depleted eIF4E, which is essential in budding yeast, and observed surprisingly modest effects on cell growth and protein synthesis. Long-lived transcripts were downregulated, likely reflecting accelerated turnover, and the strongest gene-specific effects arose as secondary effects of reduced protein biosynthesis on amino acid pools. Futile cycles of amino acid synthesis and degradation were accompanied by translational activation of GCN4, which is typically induced by amino acid starvation. We further identified translational tuning of PCL5, a negative regulator of Gcn4, that provides a consistent protein-to-mRNA ratio under varying translation environments. This translational control depended in part on a uniquely long poly-(A) tract in the PCL5 5' UTR and on poly-(A) binding protein. These results highlight the intricate interplay between translation, amino acid homeostasis, and gene regulation and uncover new layers of feedback control in cellular response to stress and nutrient availability. Overall design: To determine the impact of reduced eIF4E levels on ribosome occupancy transcriptome-wide, we established a eIF4E-AID (auxin inducible degron) yeast strain. We then depleted eIF4E by adding IAA for either 1 or 8 hours. We determined changes in translation and RNA abundance by ribosome profiling and RNA-seq, respectively. A DMSO treated sample was used as a control and both conditions (IAA and DMSO) were performed in duplicate."
PRJNA967637,Dysregulation of amino acid metabolism upon rapid depletion of cap-binding protein eIF4E [aro10_screen],"Protein synthesis is metabolically costly, and the level of translation must match nutrient availability and cellular needs. Overall protein synthesis levels are modulated by regulating translation initiation. The cap-binding protein eIF4E—the earliest contact between mRNAs and the translation machinery—serves as one point of control, but its contributions to mRNA-specific translation regulation remain poorly understood. We acutely depleted eIF4E, which is essential in budding yeast, and observed surprisingly modest effects on cell growth and protein synthesis. Long-lived transcripts were downregulated, likely reflecting accelerated turnover, and the strongest gene-specific effects arose as secondary effects of reduced protein biosynthesis on amino acid pools. Futile cycles of amino acid synthesis and degradation were accompanied by translational activation of GCN4, which is typically induced by amino acid starvation. We further identified translational tuning of PCL5, a negative regulator of Gcn4, that provides a consistent protein-to-mRNA ratio under varying translation environments. This translational control depended in part on a uniquely long poly-(A) tract in the PCL5 5' UTR and on poly-(A) binding protein. These results highlight the intricate interplay between translation, amino acid homeostasis, and gene regulation and uncover new layers of feedback control in cellular response to stress and nutrient availability. Overall design: To determine the impact of reduced eIF4E levels on ribosome occupancy transcriptome-wide, we established a eIF4E-AID (auxin inducible degron) yeast strain. We then depleted eIF4E by adding IAA for either 1 or 8 hours. We determined changes in translation and RNA abundance by ribosome profiling and RNA-seq, respectively. A DMSO treated sample was used as a control and both conditions (IAA and DMSO) were performed in duplicate."
PRJNA966986,Microglial MHC-I induction with aging and Alzheimer’s is conserved in mouse models and humans,"Major Histocompatibility Complex I (MHC-I) CNS cellular localization and function is still being determined after previously being thought to be absent from the brain. MHC-I expression has been reported to increase with brain aging in mouse, rat, and human whole tissue analyses. Neuronal MHC-I has been proposed to regulate developmental synapse elimination and tau pathology in Alzheimer's disease (AD). Here we report that across newly generated and publicly available ribosomal profiling, cell sorting, and single-cell data, microglia were the primary source of classical and non-classical MHC-I in mice and humans. Translating Ribosome Affinity Purification (TRAP)-qPCR analysis of 3-6 and 18-22 month old (m.o.) mice revealed significant age-related microglial induction of MHC-I pathway genes B2m, H2-D1, H2-K1, H2-M3, H2-Q6, and Tap1 but not in astrocytes and neurons. Across a timecourse (12-23 m.o.), microglial MHC-I gradually increased until 21 m.o. and then accelerated. MHC-I protein was also enriched in microglia and increased with aging. Microglial expression, and absence in astrocytes and neurons, of MHC-I binding Leukocyte Immunoglobulin-like (Lilrs) and Paired immunoglobin-like type 2 (Pilrs) receptor families could enable cell-autonomous MHC-I signaling and increased with aging in mice and humans. Increased microglial MHC-I, Lilrs, and Pilrs were observed in AD mouse models and human AD data is evident across numerous mouse models, methods, and studies. MHC-I expression correlated with p16INK4A, suggesting an association with cellular senescence. Conserved induction of MHC-I, Lilrs, and Pilrs with aging and AD opens the possibility of cell-autonomous MHC-I signaling to regulate microglial reactivation with aging and neurodegeneration. Overall design: RNA-Seq and qPCR of old and young mice to compare MHC-I expression with human data"
PRJNA957283,Human SAMD9 is a Virus-Activatable Anticodon Nuclease Inhibiting Codon-Specific Protein Synthesis,"Transfer RNAs (tRNAs) are one of the most conserved components of protein synthesis machinery. An effective strategy for microbes to defend against viruses or competitors is to employ anticodon nucleases (ACNases) to deplete essential tRNAs and thereby shut off global protein synthesis, but this strategy has not been observed in multicellular eukaryotes. Here, we report that human SAMD9 is a virus-activatable ACNase that specifically depletes phenylalanine tRNA (tRNAPhe), causing codon-specific ribosomal pausing and inducing stress signaling. SAMD9 ACNase can be activated by poxvirus infection or by SAMD9 mutations associated with a spectrum of developmental or immunological disorders, implicating tRNAPhe deficiency as a major toxic effect in these human diseases and suggesting a new therapeutic strategy. The specificity of the ACNase, located to an N-terminal effector domain of SAMD9, is largely determined by a eukaryotic tRNAPhe specific 2'-O-methylation at the wobble position, making eukaryotic tRNAPhe a universal but specific target for SAMD9. The SAMD9 ACNase differs from the microbial ACNases in structure and substrate specificity, suggesting convergent evolution resulted in a universal immune defense strategy targeting tRNAs. Overall design: tRNA-seq, Ribo-seq and RNA-seq. For tRNA-seq, HeLa cells were uninfected or infected with either WT or vK1-C7- VACV for 8 hours. tRNAs were isolated from total RNAs resolved on a denaturing gel, untreated or treated with a tRNA demethylase and subjected to tRNA-seq. For Ribo-seq and RNA-seq,  BT20 cells transduced with SAMD9-R1293W were uninduced or induced for SAMD9-R1293W expression."
